Month,aaa,qqq,www,eee,rrr,Commercial,Industrial,Residential,Vehicle Fuel,Electric Power
17-Nov,323.656,690.723,466.794,3.575,668.583,10.78853333,23.0241,15.5598,0.119166667,22.2861
17-Oct,200.418,652.681,203.746,3.694,783.85,6.6806,21.75603333,6.791533333,0.123133333,26.12833333
17-Sep,145.749,613.266,115.126,3.575,868.856,4.8583,20.4422,3.837533333,0.119166667,28.96186667
17-Aug,139.344,634.844,104.253,3.694,1066.753,4.6448,21.16146667,3.4751,0.123133333,35.55843333
17-Jul,133.855,622.985,107.492,3.694,1084.043,4.461833333,20.76616667,3.583066667,0.123133333,36.13476667
17-Jun,138.327,611.185,123.956,3.56,856.397,4.6109,20.37283333,4.131866667,0.118666667,28.54656667
17-May,179.168,624.656,200.453,3.679,708.833,5.972266667,20.82186667,6.681766667,0.122633333,23.62776667
17-Apr,213.13,625.436,280.702,3.56,626.093,7.104333333,20.84786667,9.356733333,0.118666667,20.86976667
17-Mar,373.019,691.312,581.829,3.679,724.188,12.43396667,23.04373333,19.3943,0.122633333,24.1396
17-Feb,361.251,644.623,581.66,3.323,556.381,12.0417,21.48743333,19.38866667,0.110766667,18.54603333
17-Jan,481.03,730.864,831.926,3.679,647.792,16.03433333,24.36213333,27.73086667,0.122633333,21.59306667
16-Dec,462.253,733.38,793.95,3.704,668.757,15.40843333,24.446,26.465,0.123466667,22.2919
16-Nov,280.328,653.529,379.611,3.585,663.538,9.344266667,21.7843,12.6537,0.1195,22.11793333
16-Oct,191.273,622.274,187.305,3.704,741.36,6.375766667,20.74246667,6.2435,0.123466667,24.712
16-Sep,141.901,603.507,109.734,3.585,914.908,4.730033333,20.1169,3.6578,0.1195,30.49693333
16-Aug,140.306,627.266,100.409,3.704,1154.593,4.676866667,20.90886667,3.346966667,0.123466667,38.48643333
16-Jul,134.427,616.091,106.369,3.704,1142.161,4.4809,20.53636667,3.545633333,0.123466667,38.07203333
16-Jun,138.131,589.96,122.582,3.286,971.342,4.604366667,19.66533333,4.086066667,0.109533333,32.37806667
16-May,171.017,612.176,193.829,3.395,805.702,5.700566667,20.40586667,6.460966667,0.113166667,26.85673333
16-Apr,232.634,619.514,327.916,3.286,721.262,7.754466667,20.65046667,10.93053333,0.109533333,24.04206667
16-Mar,297.803,662.058,454.829,3.395,742.605,9.926766667,22.0686,15.16096667,0.113166667,24.7535
16-Feb,412.876,662.069,689.836,3.176,686.335,13.76253333,22.06896667,22.99453333,0.105866667,22.87783333
16-Jan,502.539,720.427,878.664,3.395,770.962,16.7513,24.01423333,29.2888,0.113166667,25.69873333
15-Dec,352.506,674.532,590.911,3.345,768.606,11.7502,22.4844,19.69703333,0.1115,25.6202
15-Nov,283.231,638.537,406.61,3.238,732.413,9.441033333,21.28456667,13.55366667,0.107933333,24.41376667
15-Oct,194.961,612.994,201.54,3.345,791.541,6.4987,20.43313333,6.718,0.1115,26.3847
15-Sep,138.126,579.061,108.491,3.238,895.044,4.6042,19.30203333,3.616366667,0.107933333,29.8348
15-Aug,135.279,599.867,102.855,3.345,1026.59,4.5093,19.99556667,3.4285,0.1115,34.21966667
15-Jul,133.728,591.9,108.16,3.345,1045.542,4.4576,19.73,3.605333333,0.1115,34.8514
15-Jun,135.446,574.682,124.066,3.238,886.475,4.514866667,19.15606667,4.135533333,0.107933333,29.54916667
15-May,160.511,602.843,177.57,3.345,734.486,5.350366667,20.09476667,5.919,0.1115,24.48286667
15-Apr,232.201,607.933,319.285,3.238,664.276,7.740033333,20.26443333,10.64283333,0.107933333,22.14253333
15-Mar,385.772,661.612,633.081,3.345,708.731,12.85906667,22.05373333,21.1027,0.1115,23.62436667
15-Feb,517.341,659.623,902.364,3.022,648.343,17.2447,21.98743333,30.0788,0.100733333,21.61143333
15-Jan,532.631,718.319,937.954,3.345,711.324,17.75436667,23.94396667,31.26513333,0.1115,23.7108
14-Dec,426.751,690.112,716.907,2.997,638.769,14.22503333,23.00373333,23.8969,0.0999,21.2923
14-Nov,361.53,659.624,543.538,2.9,600.392,12.051,21.98746667,18.11793333,0.096666667,20.01306667
14-Oct,202.359,609.917,212.079,2.997,703.39,6.7453,20.33056667,7.0693,0.0999,23.44633333
14-Sep,148.913,590.989,121.736,2.9,770.947,4.963766667,19.69963333,4.057866667,0.096666667,25.69823333
14-Aug,137.122,608.533,105.187,2.997,897.806,4.570733333,20.28443333,3.506233333,0.0999,29.92686667
14-Jul,137.609,605.051,112.785,2.997,843.303,4.586966667,20.16836667,3.7595,0.0999,28.1101
14-Jun,141.451,585.811,125.596,2.9,720.75,4.715033333,19.52703333,4.186533333,0.096666667,24.025
14-May,176.753,606.067,203.456,2.997,646.929,5.891766667,20.20223333,6.781866667,0.0999,21.5643
14-Apr,251.038,627.785,356.142,2.9,548.899,8.367933333,20.92616667,11.8714,0.096666667,18.29663333
14-Mar,420.934,680.634,699.921,2.997,560.808,14.03113333,22.6878,23.3307,0.0999,18.6936
14-Feb,490.105,659.19,852.927,2.707,551.109,16.33683333,21.973,28.4309,0.090233333,18.3703
14-Jan,571.744,722.327,1037.197,2.997,662.881,19.05813333,24.07756667,34.57323333,0.0999,22.09603333
13-Dec,473.848,706.724,848.195,2.552,668.792,15.79493333,23.55746667,28.27316667,0.085066667,22.29306667
13-Nov,345.132,652.358,517.529,2.469,601.019,11.5044,21.74526667,17.25096667,0.0823,20.03396667
13-Oct,206.671,611.884,222.668,2.552,637.038,6.889033333,20.39613333,7.422266667,0.085066667,21.2346
13-Sep,141.926,575.038,117.803,2.469,751.482,4.730866667,19.16793333,3.926766667,0.0823,25.0494
13-Aug,137.019,591.603,107.731,2.552,900.53,4.5673,19.7201,3.591033333,0.085066667,30.01766667
13-Jul,135.057,577.915,111.509,2.552,911.124,4.5019,19.26383333,3.716966667,0.085066667,30.3708
13-Jun,136.047,563.89,127.659,2.469,737.15,4.5349,18.79633333,4.2553,0.0823,24.57166667
13-May,168.85,592.942,193.222,2.552,614.808,5.628333333,19.76473333,6.440733333,0.085066667,20.4936
