Year,Reference Case,Reference Case Without Clean Power Plan,High Economic Growth,Low Economic Growth,High Oil Price,Low Oil Price,High Oil and Gas Resource and Technology,Low Oil and Gas Resource and Technology
2050,2149.984131,1976.859253,2296.341064,2047.064331,1902.610718,2190.196777,2959.367676,899.362793
2049,2091.880859,1941.088867,2233.741455,2000.203369,1886.155518,2142.267578,2901.599121,881.525879
2048,2075.061768,1920.365234,2235.972168,1973.184448,1889.571777,2120.043701,2847.304688,881.225159
2047,2049.401855,1891.946533,2223.854736,1949.950195,1900.640137,2091.041992,2790.541504,899.457031
2046,2013.416748,1859.941284,2163.045654,1908.035522,1881.31665,2043.518677,2722.842773,900.485596
2045,1979.316162,1830.985107,2133.306885,1875.964966,1862.370239,2006.078857,2626.827393,914.866211
2044,1936.783447,1795.406982,2087.792236,1847.83728,1831.481323,1958.873413,2555.402588,916.700989
2043,1902.143433,1758.58606,2038.899048,1813.935669,1787.812378,1924.927246,2492.638184,923.609375
2042,1880.366577,1733.349854,2000.366211,1785.53479,1779.06665,1888.952759,2433.497559,913.348206
2041,1851.586182,1711.132446,1974.079956,1755.727295,1741.345947,1859.555908,2388.549072,900.370117
2040,1818.47644,1683.789917,1938.114624,1729.978149,1700.648926,1832.244019,2334.626465,909.562073
2039,1802.377197,1657.517578,1902.918823,1713.251709,1674.239014,1809.291138,2285.812012,915.581238
2038,1770.615479,1612.142822,1847.427979,1671.552002,1637.161377,1775.495239,2222.953125,915.179626
2037,1732.269653,1575.60144,1792.865356,1632.741333,1607.605347,1740.039673,2157.312012,929.398682
2036,1683.794312,1538.293091,1760.163696,1590.67688,1571.01416,1688.614258,2098.05835,933.734192
2035,1666.127197,1504.283447,1735.208984,1564.394653,1548.557983,1645.494263,2041.173584,948.389038
2034,1603.134644,1454.678345,1680.118042,1504.160889,1494.741455,1574.884033,1971.859009,941.657349
2033,1550.511475,1412.86792,1626.782959,1462.475952,1465.974487,1542.538574,1908.412109,948.77356
2032,1535.379639,1387.047974,1596.989746,1446.168335,1455.889282,1524.656006,1867.329224,950.2901
2031,1503.825439,1362.643311,1565.462524,1431.170654,1462.105225,1493.545776,1824.690796,945.48761
2030,1498.520752,1344.10437,1542.115723,1432.34729,1463.867676,1488.203857,1792.89624,954.321899
2029,1473.064819,1333.144653,1499.882446,1412.548828,1459.100342,1459.94165,1743.42334,955.232727
2028,1433.368652,1321.4552,1449.620972,1377.456299,1429.547363,1415.614624,1697.714844,961.4729
2027,1387.883545,1303.893433,1407.740479,1338.740112,1393.198242,1376.823853,1652.613037,969.05957
2026,1342.506714,1286.866699,1363.405518,1293.142822,1353.893433,1326.831543,1598.197876,955.198853
2025,1281.887573,1247.693481,1288.667725,1248.128174,1299.904541,1266.360474,1555.862427,916.92749
2024,1223.733032,1207.227173,1230.086548,1206.017944,1262.717651,1216.561768,1529.492798,884.598755
2023,1177.009277,1191.454224,1187.953979,1173.572998,1259.695068,1175.891602,1491.165283,853.330078
2022,1177.56958,1184.144531,1194.209595,1158.872803,1276.492432,1180.736694,1467.741455,918.978882
2021,1202.559692,1203.182495,1207.854492,1169.136841,1311.712524,1218.362671,1438.221436,950.261902
2020,1235.114258,1239.447632,1239.612305,1218.597778,1353.640015,1264.982422,1399.700562,1049.362427
2019,1322.524902,1316.219971,1323.307983,1320.174927,1440.805298,1341.946533,1426.121338,1175.523926
2018,1386.729004,1391.893555,1384.314453,1380.036011,1493.467163,1385.773193,1449.120972,1318.039062
2017,1384.813965,1384.441772,1376.959229,1375.381592,1373.343018,1378.865601,1377.271606,1376.740112
2016,1414.453857,1414.209595,1414.223755,1414.263794,1414.380127,1414.211182,1414.634033,1413.566406
2015,1340.610474,1340.608887,1340.616333,1340.65332,1340.753662,1340.609375,1340.711792,1340.529297
