Date,Henry Hub Daily Price
Feb-2018,2.85
Feb-2018,2.91
Feb-2018,3.06
Jan-2018,3.34
Jan-2018,3.6
Jan-2018,3.6
Jan-2018,3.58
Jan-2018,3.54
Jan-2018,3.54
Jan-2018,3.35
Jan-2018,3.13
Jan-2018,3.2
Jan-2018,3.92
Jan-2018,3.92
Jan-2018,5.46
Jan-2018,4.06
Jan-2018,3.16
Jan-2018,3.16
Jan-2018,2.93
Jan-2018,2.89
Jan-2018,
Jan-2018,4.65
Jan-2018,6.24
Jan-2018,6.24
Dec-2017,3.69
Dec-2017,2.97
Dec-2017,2.76
Dec-2017,2.68
Dec-2017,2.63
Dec-2017,2.64
Dec-2017,2.72
Dec-2017,2.75
Dec-2017,2.71
Dec-2017,2.6
Dec-2017,2.69
Dec-2017,2.87
Dec-2017,2.87
Dec-2017,2.81
Dec-2017,2.78
Dec-2017,2.81
Dec-2017,2.86
Dec-2017,2.86
Dec-2017,2.91
Dec-2017,2.84
Nov-2017,3.06
Nov-2017,3.06
Nov-2017,2.88
Nov-2017,2.88
Nov-2017,3.05
Nov-2017,3.05
Nov-2017,3.05
Nov-2017,3.05
Nov-2017,3.04
Nov-2017,3.04
Nov-2017,3.09
Nov-2017,3.16
Nov-2017,3.06
Nov-2017,3.13
Nov-2017,3.17
Nov-2017,3.18
Nov-2017,3.16
Nov-2017,3.07
Nov-2017,3.01
Nov-2017,2.75
Nov-2017,2.68
Nov-2017,2.68
Oct-2017,2.84
Oct-2017,2.94
Oct-2017,2.78
Oct-2017,2.91
Oct-2017,2.98
Oct-2017,2.95
Oct-2017,2.95
Oct-2017,2.8
Oct-2017,2.83
Oct-2017,2.81
Oct-2017,2.88
Oct-2017,2.87
Oct-2017,2.99
Oct-2017,2.95
Oct-2017,2.89
Oct-2017,2.89
Oct-2017,2.87
Oct-2017,2.93
Oct-2017,2.8
Oct-2017,2.8
Oct-2017,2.73
Oct-2017,2.94
Sep-2017,2.94
Sep-2017,2.96
Sep-2017,2.98
Sep-2017,2.96
Sep-2017,2.96
Sep-2017,2.93
Sep-2017,3.11
Sep-2017,3.13
Sep-2017,3.18
Sep-2017,3.11
Sep-2017,3
Sep-2017,3.03
Sep-2017,3.02
Sep-2017,2.88
Sep-2017,2.88
Sep-2017,2.88
Sep-2017,2.92
Sep-2017,2.98
Sep-2017,2.88
Sep-2017,2.88
Sep-2017,2.88
Aug-2017,2.92
