Month,West Virginia Natural Gas  Oil Wells MMcf,West Virginia Natural Gas Gross  Coalbed Wells MMcf,West Virginia Natural Gas Gross  Shale Gas MMcf,West Virginia Natural Gas  Gas Wells MMcf,Pennsylvania Natural Gas  Oil Wells MMcf,Pennsylvania Natural Gas  Gas Wells MMcf,Pennsylvania Natural Gas Gross  Shale Gas MMcf,Ohio Natural Gas Gross  Coalbed Wells MMcf,Ohio Natural Gas  Oil Wells MMcf,Ohio Natural Gas  Gas Wells MMcf,Ohio Natural Gas Gross  Shale Gas MMcf,Oil Wells,Coalbed Wells,Shale Gas,Gas Wells
Dec 2015,107,0,90124,15258,196,39623,393976,0,3641,6295,103249,4,,587,61
Nov 2015,124,0,87216,9489,189,27889,381267,0,3027,6167,95537,3,,564,44
Oct 2015,115,0,90124,18473,201,13057,393976,0,3300,5841,94986,4,,579,37
Sep 2015,130,0,97134,14669,232,27517,370361,0,3302,4617,81453,4,,549,47
Aug 2015,121,0,100371,14379,203,26861,382707,0,3260,4528,80116,4,,563,46
Jul 2015,136,0,100371,14548,194,18876,382707,0,2966,4866,80573,3,,564,38
Jun 2015,202,0,98848,14553,215,17267,359374,0,2770,2718,79205,3,,537,35
May 2015,123,0,102143,17872,236,19743,371353,0,2441,2604,72820,3,,546,40
Apr 2015,189,0,98848,11242,232,33145,359374,0,2373,2214,66205,3,,524,47
Mar 2015,296,0,95595,17490,248,26464,386444,0,2212,2090,65268,3,,547,46
Feb 2015,321,0,86344,11535,226,21564,349046,0,1759,1961,56437,2,,492,35
Jan 2015,155,0,95595,14583,257,21319,386444,0,1623,2338,60089,2,,542,38
Dec 2014,106,0,86636,20960,378,11175,363218,0,1574,4063,55022,2,,505,36
Nov 2014,115,0,83842,14056,294,10887,351501,0,1304,4151,53247,2,,489,29
Oct 2014,121,0,86636,14794,303,11251,363218,0,1228,4408,55022,2,,505,30
Sep 2014,215,0,76841,19800,291,24891,337500,0,1129,4182,42544,2,,457,49
Aug 2014,138,0,79403,16047,289,25732,348750,0,1104,4383,43962,2,,472,46
Jul 2014,131,0,79403,13075,294,25727,348750,0,894,4593,43962,1,,472,43
Jun 2014,120,0,66190,17287,255,10951,325796,0,916,4427,28811,1,,421,33
May 2014,125,0,68396,15790,274,11305,336656,0,1047,4473,29771,1,,435,32
Apr 2014,139,0,66190,12916,274,10931,325796,0,1054,4289,28811,1,,421,28
Mar 2014,146,0,64371,17562,310,25775,322151,0,919,4366,22960,1,,409,48
Feb 2014,136,0,58142,13371,248,23312,290975,0,862,3912,20738,1,,370,41
Jan 2014,197,0,64371,9346,317,25768,322151,0,991,4294,22960,2,,409,39
Dec 2013,259,0,55279,16804,389,17519,280596,0,937,4660,14531,2,,350,39
Nov 2013,161,0,53496,17002,272,17059,271545,0,989,4428,14062,1,,339,38
Oct 2013,341,0,55279,12308,249,17660,280596,0,967,4629,14531,2,,350,35
Sep 2013,240,0,51309,14940,204,17127,271545,0,1136,4281,10967,2,,334,36
Aug 2013,277,0,53019,15732,220,17689,280596,0,1195,4402,11332,2,,345,38
Jul 2013,227,0,53019,13450,311,17597,280596,0,1174,4423,11332,2,,345,35
Jun 2013,294,0,45754,17708,196,17135,229178,0,705,4712,4967,1,,280,40
May 2013,212,0,47279,13514,218,17691,236817,0,722,4875,5132,1,,289,36
Apr 2013,265,0,45754,7979,216,17115,229178,0,706,4710,4967,1,,280,30
Mar 2013,164,0,38540,14365,243,17665,236817,0,606,4991,2858,1,,278,37
Feb 2013,96,0,34810,11048,209,15966,213900,0,558,4498,2581,1,,251,32
Jan 2013,124,0,38540,12267,260,17648,236817,0,622,4975,2858,1,,278,35
Dec 2012,109,0,34330,16990,260,5301,205886,0,550,4804,1802,1,,242,27
Nov 2012,108,0,33685,16670,259,5122,199244,0,531,4650,1743,1,,235,26
Oct 2012,111,0,34228,16937,280,5280,205886,0,550,4804,1802,1,,242,27
Sep 2012,112,0,29485,16525,290,29523,174812,0,531,5172,1221,1,,206,51
Aug 2012,121,0,30176,16906,318,30490,180639,0,550,5343,1262,1,,212,53
Jul 2012,110,0,28110,15752,332,30476,180639,0,550,5343,1262,1,,210,52
Jun 2012,127,0,26994,15793,255,8624,156230,0,531,5576,818,1,,184,30
May 2012,162,0,27912,16300,264,8911,161438,0,550,5760,845,1,,190,31
Apr 2012,130,0,25441,14874,266,8613,156230,0,531,5576,818,1,,182,29
Mar 2012,132,0,25054,15736,297,26684,143632,0,550,6192,414,1,,169,49
Feb 2012,128,0,24058,15109,294,24946,134365,0,513,5807,374,1,,159,46
Jan 2012,126,0,25375,15945,341,26640,143632,0,743,5999,414,1,,169,49
Dec 2011,0,0,23558,14084,0,27263,120199,0,4135,2524,480,4,,144,44
Nov 2011,0,0,21994,13149,0,26384,116321,0,3949,2411,458,4,,139,42
Oct 2011,0,0,22896,13688,0,27263,120199,0,3941,2407,458,4,,144,43
Sep 2011,0,0,21788,14553,0,20441,90121,0,3618,2303,328,4,,112,37
Aug 2011,0,0,20783,13882,0,21122,93126,0,3670,2336,333,4,,114,37
Jul 2011,0,0,21093,14089,0,21122,93126,0,3669,2335,333,4,,115,38
Jun 2011,0,0,18022,14328,0,17629,77725,0,3613,2580,48,4,,96,35
May 2011,0,0,17785,14139,0,18217,80316,0,3765,2687,50,4,,98,35
Apr 2011,0,0,16974,13495,0,17629,77725,0,3738,2668,50,4,,95,34
Mar 2011,0,0,15203,15053,0,15581,68692,0,3898,2832,1,4,,84,33
Feb 2011,0,0,13153,13024,0,14073,62045,0,3617,2630,1,4,,75,30
Jan 2011,0,0,13764,13629,0,15581,68692,0,4050,2942,1,4,,82,32
Dec 2010,0,0,12136,10707,0,23101,53202,0,421,6648,1,,,65,40
Nov 2010,0,0,12016,10602,0,22356,51485,0,402,6350,1,,,64,39
Oct 2010,0,0,12372,10916,0,23101,53202,0,401,6339,1,,,66,40
Sep 2010,0,0,9859,12287,0,16158,37211,0,369,5823,1,,,47,34
Aug 2010,0,0,10068,12548,0,16697,38452,0,374,5906,1,,,49,35
Jul 2010,0,0,10065,12544,0,16697,38452,0,374,5904,1,,,49,35
Jun 2010,0,0,8405,13419,0,11663,26860,0,368,5815,1,,,35,31
May 2010,0,0,8558,13664,0,12052,27756,0,383,6057,1,,,36,32
Apr 2010,0,0,8245,13164,0,11663,26860,0,381,6014,1,,,35,31
Mar 2010,0,0,7606,14333,0,6876,15835,0,397,6269,1,,,23,27
Feb 2010,0,0,6900,13002,0,6210,14303,0,368,5822,1,,,21,25
Jan 2010,0,0,7544,14217,0,6876,15835,0,413,6513,1,,,23,28
Dec 2009,0,0,6076,15802,0,16783,7565,0,480,7559,1,,,14,40
Nov 2009,0,0,5880,16373,0,14406,7321,0,458,7220,1,,,13,38
Oct 2009,0,0,6076,16970,0,15664,7565,0,458,7207,1,,,14,40
Sep 2009,0,0,5880,16656,0,15147,7321,0,420,6619,1,,,13,38
Aug 2009,0,0,6076,16883,0,15084,7565,0,426,6713,1,,,14,39
Jul 2009,0,0,6076,16659,0,14375,7565,0,426,6711,1,,,14,38
Jun 2009,0,0,5880,16179,0,15072,7321,0,419,6609,1,,,13,38
May 2009,0,0,6076,16586,0,14578,7565,0,437,6885,1,,,14,38
Apr 2009,0,0,5880,15850,0,14578,7321,0,434,6837,1,,,13,37
Mar 2009,0,0,6076,15990,0,15940,7565,0,452,7127,1,,,14,39
Feb 2009,0,0,5488,13963,0,16450,6833,0,420,6617,1,,,12,37
Jan 2009,0,0,6076,14985,0,16718,7565,0,470,7405,1,,,14,39
Dec 2008,0,0,4526,15834,0,16803,826,0,459,7221,1,,,5,40
Nov 2008,0,0,4380,16046,0,14931,800,0,439,6897,1,,,5,38
Oct 2008,0,0,4526,16924,0,15993,826,0,438,6884,1,,,5,40
Sep 2008,0,0,4380,15342,0,15468,800,0,402,6322,1,,,5,37
Aug 2008,0,0,4526,16499,0,15573,826,0,408,6412,1,,,5,38
Jul 2008,0,0,4526,16360,0,15059,826,0,408,6410,1,,,5,38
Jun 2008,0,0,4380,15712,0,15414,800,0,401,6313,1,,,5,37
May 2008,0,0,4526,15868,0,15207,826,0,418,6577,1,,,5,38
Apr 2008,0,0,4380,15480,0,15057,800,0,415,6530,1,,,5,37
Mar 2008,0,0,4526,16019,0,16192,826,0,433,6808,1,,,5,39
Feb 2008,0,0,4234,15356,0,16085,773,0,402,6320,1,,,5,38
Jan 2008,0,0,4526,16006,0,16756,826,0,450,7074,1,,,5,40
Dec 2007,58,0,3441,16860,0,16205,0,0,477,7497,1,1,,3,41
Nov 2007,53,0,3330,16814,0,14460,0,0,456,7160,1,1,,3,38
Oct 2007,60,0,3441,15970,0,15461,0,0,455,7147,1,1,,3,39
Sep 2007,56,0,3330,16473,0,14954,0,0,417,6563,1,,,3,38
Aug 2007,64,0,3441,15985,0,15074,0,0,423,6656,1,,,3,38
Jul 2007,57,0,3441,16177,0,14603,0,0,423,6654,1,,,3,37
Jun 2007,63,0,3330,15532,0,14904,0,0,417,6553,1,,,3,37
May 2007,63,0,3441,15889,0,14738,0,0,434,6828,1,,,3,37
Apr 2007,60,0,3330,15187,0,14575,0,0,431,6779,1,,,3,37
Mar 2007,58,0,3441,15388,0,15644,0,0,450,7068,1,1,,3,38
Feb 2007,52,0,3108,14063,0,15496,0,0,417,6561,1,,,3,36
Jan 2007,57,0,3441,15630,0,16162,0,0,467,7344,1,1,,3,39
Dec 2006,143,0,,20054,0,15643,,27,467,7347,,1,,,43
Nov 2006,136,0,,19206,0,13959,,27,446,7017,,1,,,40
Oct 2006,146,0,,19150,0,14924,,27,445,7004,,1,,,41
Sep 2006,146,0,,18699,0,14435,,27,409,6432,,1,,,40
Aug 2006,151,0,,20131,0,14551,,27,415,6523,,1,,,41
Jul 2006,146,0,,18646,0,14096,,27,415,6521,,1,,,39
Jun 2006,132,0,,18348,0,14387,,27,408,6422,,1,,,39
May 2006,130,0,,18724,0,14226,,27,425,6691,,1,,,40
Apr 2006,111,0,,17424,0,14070,,27,422,6644,,1,,,38
Mar 2006,243,0,,18313,0,15101,,27,440,6926,,1,,,40
Feb 2006,120,0,,16996,0,14958,,27,409,6430,,1,,,38
Jan 2006,127,0,,18109,0,15601,,27,458,7197,,1,,,41
Dec 2005,140,,,19661,0,14981,,,517,7046,,1,,,42
Nov 2005,134,,,18829,0,13368,,,493,6729,,1,,,39
