Month,Anadarko,Appalachia,Bakken,Eagle Ford,Haynesville,Niobrara,Permian
Aug 2007,4.18,1.43,0.20,1.64,3.83,3.76,4.86
Sep 2007,4.23,1.44,0.20,1.65,3.85,3.72,4.76
Oct 2007,4.25,1.46,0.20,1.64,3.92,3.73,4.75
Nov 2007,4.26,1.45,0.20,1.65,3.94,3.90,4.75
Dec 2007,4.12,1.45,0.20,1.64,3.99,4.00,4.72
Jan 2008,4.20,1.47,0.19,1.65,3.98,4.00,4.69
Feb 2008,4.25,1.48,0.19,1.65,4.07,4.05,4.86
Mar 2008,4.25,1.49,0.20,1.66,4.13,4.19,4.81
Apr 2008,4.33,1.50,0.21,1.65,4.20,4.32,4.81
May 2008,4.33,1.54,0.22,1.66,4.25,4.40,4.84
Jun 2008,4.31,1.56,0.22,1.69,4.24,4.48,4.75
Jul 2008,4.29,1.58,0.22,1.68,4.29,4.43,4.83
Aug 2008,4.28,1.58,0.22,1.66,4.30,4.48,4.82
Sep 2008,4.26,1.63,0.23,1.57,4.15,4.58,4.26
Oct 2008,4.18,1.65,0.24,1.68,4.42,4.63,4.75
Nov 2008,4.28,1.65,0.24,1.69,4.48,4.68,4.80
Dec 2008,4.28,1.53,0.21,1.69,4.53,4.64,4.86
Jan 2009,4.31,1.58,0.21,1.72,4.55,4.76,4.83
Feb 2009,4.39,1.60,0.22,1.70,4.42,4.82,4.81
Mar 2009,4.18,1.63,0.22,1.68,4.68,4.75,4.72
Apr 2009,4.21,1.65,0.24,1.65,4.76,4.67,4.64
May 2009,4.27,1.69,0.24,1.62,4.83,4.73,4.71
Jun 2009,4.25,1.67,0.24,1.59,4.91,4.67,4.69
Jul 2009,4.23,1.96,0.25,1.59,4.98,4.60,4.57
Aug 2009,4.18,1.98,0.25,1.57,5.18,4.66,4.56
Sep 2009,4.17,1.95,0.25,1.53,5.33,4.43,4.56
Oct 2009,4.11,1.96,0.25,1.53,5.50,4.59,4.51
Nov 2009,4.10,1.91,0.26,1.59,5.72,4.72,4.57
Dec 2009,3.88,1.91,0.25,1.61,5.67,4.64,4.38
Jan 2010,3.86,1.94,0.25,1.70,5.81,4.74,4.41
Feb 2010,4.14,2.11,0.26,1.76,6.10,4.78,4.50
Mar 2010,4.03,2.18,0.27,1.75,6.51,4.77,4.46
Apr 2010,4.06,2.31,0.28,1.73,6.60,4.77,4.47
May 2010,4.11,2.40,0.30,1.81,6.80,4.79,4.48
Jun 2010,4.42,2.59,0.30,1.85,7.17,4.77,4.38
Jul 2010,4.24,2.70,0.32,1.84,7.40,4.69,4.39
Aug 2010,4.22,2.81,0.32,1.86,7.62,4.84,4.37
Sep 2010,4.50,3.06,0.34,1.90,7.82,4.90,4.35
Oct 2010,4.33,3.30,0.34,1.95,7.87,4.87,4.38
Nov 2010,4.63,3.46,0.36,2.04,8.24,4.87,4.37
Dec 2010,4.42,3.48,0.34,2.18,8.54,4.85,4.33
