Month,Total Natural Gas Consumption,Natural Gas Production Plus Net Imports
May 2002,53.7151,63.6276666667
Jun 2002,53.0457666667,61.4097
Jul 2002,58.2811666667,64.5352333333
Aug 2002,57.5237333333,63.7593333333
Sep 2002,51.4056666667,60.1778333333
Oct 2002,54.8624333333,61.7701666667
Nov 2002,63.7876333333,61.0516666667
Dec 2002,79.2965,64.3007666667
Jan 2003,90.0181666667,63.909
Feb 2003,83.3438333333,57.4040666667
Mar 2003,73.2645333333,64.5164333333
Apr 2003,58.1176666667,61.9378
May 2003,50.4899,63.4179333333
Jun 2003,45.6123,60.9814
Jul 2003,53.3494666667,62.8635
Aug 2003,55.0526666667,63.5711666667
Sep 2003,47.6184666667,61.1435666667
Oct 2003,51.7729666667,62.9661333333
Nov 2003,58.4547333333,59.7967666667
Dec 2003,75.4553,62.9046
Jan 2004,89.1944666667,63.3692
Feb 2004,83.7032333333,58.4642
Mar 2004,70.0307,62.106
Apr 2004,58.1723666667,60.5020666667
May 2004,52.4347666667,61.3749333333
Jun 2004,49.4561333333,60.6645666667
Jul 2004,52.8311,63.2299
Aug 2004,52.5987333333,62.2772333333
Sep 2004,49.405,58.2317666667
Oct 2004,51.9074666667,60.5950333333
Nov 2004,59.4265333333,59.6928666667
Dec 2004,77.591,62.6692666667
Jan 2005,85.3952666667,62.3566
Feb 2005,74.7662,56.5272
Mar 2005,73.5262333333,63.0879333333
Apr 2005,57.4959,60.3484
May 2005,50.7537666667,61.6875666667
Jun 2005,51.1374,60.1336
Jul 2005,56.2203,62.7702333333
Aug 2005,56.5034,61.4746
Sep 2005,47.4165,54.6049333333
Oct 2005,47.6075666667,57.7522333333
Nov 2005,55.4466666667,58.6233
Dec 2005,77.5453333333,62.7345
Jan 2006,72.1756,61.3504333333
Feb 2006,71.4792666667,54.8509333333
Mar 2006,70.8789666667,61.1362333333
Apr 2006,56.0335,59.4766
May 2006,50.8765666667,61.4642
Jun 2006,51.6959666667,60.7034
Jul 2006,58.6244333333,62.8441666667
Aug 2006,58.3894333333,62.9653666667
Sep 2006,48.7356666667,60.7622666667
Oct 2006,54.8077,62.4096666667
Nov 2006,58.8458333333,60.3115666667
Dec 2006,70.7594666667,63.9228666667
Jan 2007,82.5198,63.3423333333
Feb 2007,85.5664333333,58.6693333333
Mar 2007,70.9615,64.9792333333
Apr 2007,60.3359666667,62.9281333333
May 2007,51.9693333333,65.3646
Jun 2007,51.8408666667,63.7954333333
Jul 2007,55.3294,65.7565
Aug 2007,63.2045666667,66.6179666667
Sep 2007,53.0161333333,63.1302
Oct 2007,54.2597,64.5725
Nov 2007,61.1509666667,62.9195666667
Dec 2007,79.9718,66.2960333333
Jan 2008,91.1323333333,65.5355333333
Feb 2008,83.4473666667,61.3712333333
Mar 2008,75.9383666667,66.3016666667
