Date,"Patterson-UTI Drilling Company, LLC","Nabors Drilling USA, LP",Helmerich & Payne International Drlg Co,"Cactus Drilling Company, LLC",Precision Drilling (US) Corporation,"Sidewinder Drilling, LLC",SWN Drilling Company,"Falcon Drilling Company, LLC",Pioneer Energy Services Corp.,"Scandrill, Inc.","Independence Contract Drilling, Inc.","Basin Drilling, LP",Unit Drilling Company,"Fountain Quail Drilling, LLC"
Aug 2017,51,26,24,14,11,8,6,6,6,5,5,3,3,3
Jul 2017,54,29,26,16,11,8,4,5,6,4,5,3,2,3
Jul 2017,52,28,28,16,10,8,6,6,4,5,5,3,2,3
Jul 2017,34,25,29,15,11,8,6,6,6,5,5,2,3,2
Jul 2017,35,24,31,11,12,8,6,7,6,2,5,1,3,2
Jun 2017,33,22,30,9,10,7,4,6,5,5,4,1,2,2
Jun 2017,34,24,27,9,9,,6,6,5,5,4,1,1,2
Jun 2017,34,24,27,8,9,,6,6,4,5,5,2,2,2
Jun 2017,29,22,28,10,10,,5,7,4,5,5,2,3,4
Jun 2017,28,24,29,10,9,,5,6,2,5,5,1,3,3
May 2017,35,24,31,10,11,,5,6,4,5,4,1,2,3
May 2017,32,25,34,10,11,,4,6,6,5,4,1,2,3
May 2017,30,26,32,11,11,,4,5,5,4,4,1,1,2
May 2017,30,27,30,12,11,,3,6,6,4,4,1,1,3
Apr 2017,32,28,29,8,8,,4,5,4,4,3,,1,3
Apr 2017,32,27,26,6,10,,4,5,5,4,3,,1,3
Apr 2017,33,25,23,9,8,,3,6,4,5,2,,1,3
Apr 2017,34,26,25,9,9,,4,5,5,4,2,,2,2
Mar 2017,32,25,27,9,9,,3,4,4,5,2,,2,2
Mar 2017,29,26,33,10,10,,4,6,5,4,3,,2,2
Mar 2017,27,27,28,11,9,,4,5,4,3,4,,,3
Mar 2017,28,24,30,11,9,,5,5,3,4,3,,3,3
Mar 2017,26,23,29,12,9,,5,5,5,4,3,,3,1
Feb 2017,26,24,30,12,10,,5,5,4,4,4,,3,2
Feb 2017,23,20,23,9,6,,2,4,4,4,4,,2,1
Feb 2017,23,19,25,9,7,,5,4,3,4,4,,1,
Feb 2017,24,20,24,9,9,,5,4,5,4,4,,1,3
Jan 2017,25,19,25,10,8,,3,3,4,4,4,,1,3
Jan 2017,24,19,26,10,8,,4,1,4,4,4,,,3
Jan 2017,24,18,25,9,8,,4,1,4,4,3,,1,3
Jan 2017,20,18,21,9,6,,3,1,4,3,3,,1,3
Dec 2016,25,19,22,9,5,,4,1,5,3,2,,2,
Dec 2016,23,17,20,9,5,,5,1,4,4,2,,2,
Dec 2016,18,16,9,6,3,,5,1,5,3,2,,1,
Dec 2016,19,16,10,7,3,,5,1,5,4,2,,1,
Dec 2016,19,16,12,9,4,,2,1,5,5,2,,2,
Nov 2016,23,14,10,10,5,,5,1,5,4,2,,2,
Nov 2016,19,12,11,10,6,,5,1,5,4,2,,1,
Nov 2016,22,14,12,10,7,,5,,2,5,2,,1,
Nov 2016,15,13,11,10,7,,5,1,4,5,2,,1,
Oct 2016,16,12,7,9,6,,3,1,4,5,2,,,
Oct 2016,14,11,7,9,6,,5,1,4,4,2,,,
Oct 2016,16,12,8,8,6,,3,1,4,2,2,,,
Oct 2016,16,9,6,9,5,,2,1,5,2,2,,,
Sep 2016,14,9,8,7,5,,5,1,4,3,2,,,
Sep 2016,16,9,7,8,3,,4,1,3,3,2,,,
Sep 2016,13,8,7,8,4,,5,1,3,3,2,1,,
Sep 2016,18,8,7,6,3,,5,1,4,3,,1,1,
Sep 2016,15,9,7,6,5,,4,1,3,2,,1,1,
Aug 2016,15,9,6,5,6,,3,1,2,3,,1,,
Aug 2016,16,7,6,4,6,,3,1,2,3,,,,
Aug 2016,12,7,7,5,6,,3,1,2,3,,,,
Aug 2016,13,10,8,5,6,,2,1,2,3,,1,,
Jul 2016,14,11,10,5,5,,2,1,1,3,,1,,
Jul 2016,18,11,10,6,5,,,1,2,3,,,,
Jul 2016,15,10,10,6,6,,,1,2,3,,,,
Jul 2016,20,11,11,7,6,,,,2,3,,,,
