Month,Vented and Flared,Plant Liquids Production,Dry Production,Marketed Production
May 2017,,166,2229,2395
Apr 2017,,157,2152,2310
Mar 2017,,163,2220,2383
Feb 2017,,146,2007,2153
Jan 2017,,151,2194,2345
Dec 2016,,149,2205,2354
Nov 2016,,155,2153,2308
Oct 2016,,160,2192,2352
Sep 2016,,147,2155,2303
Aug 2016,,152,2242,2394
Jul 2016,,160,2213,2372
Jun 2016,,156,2148,2304
May 2016,,160,2250,2411
Apr 2016,,151,2188,2340
Mar 2016,,157,2274,2431
Feb 2016,,140,2164,2304
Jan 2016,,148,2275,2424
Dec 2015,21,144,2295,2438
Nov 2015,18,139,2223,2362
Oct 2015,19,144,2298,2441
Sep 2015,21,141,2249,2390
Aug 2015,26,144,2302,2446
Jul 2015,26,144,2304,2448
Jun 2015,24,139,2229,2368
May 2015,26,144,2300,2444
Apr 2015,23,141,2251,2391
Mar 2015,27,144,2296,2439
Feb 2015,22,129,2063,2193
Jan 2015,26,141,2250,2391
Dec 2014,23,141,2269,2410
Nov 2014,24,135,2179,2315
Oct 2014,22,141,2266,2407
Sep 2014,24,135,2172,2307
Aug 2014,26,139,2245,2384
Jul 2014,25,139,2233,2371
Jun 2014,25,131,2116,2247
May 2014,26,135,2175,2310
Apr 2014,24,131,2116,2248
Mar 2014,25,133,2135,2267
Feb 2014,25,119,1914,2033
Jan 2014,25,129,2070,2199
Dec 2013,22,116,2062,2178
Nov 2013,22,114,2030,2144
Oct 2013,22,116,2076,2193
Sep 2013,22,112,2003,2115
Aug 2013,23,116,2075,2192
Jul 2013,23,117,2080,2196
Jun 2013,21,111,1974,2084
May 2013,22,114,2043,2157
Apr 2013,20,111,1983,2095
Mar 2013,21,113,2023,2137
Feb 2013,21,103,1833,1935
Jan 2013,21,113,2023,2136
Dec 2012,18,106,2046,2153
Nov 2012,16,104,1998,2102
Oct 2012,18,107,2062,2169
Sep 2012,18,104,1991,2094
Aug 2012,17,106,2045,2152
Jul 2012,21,107,2055,2162
Jun 2012,19,101,1939,2040
May 2012,17,105,2016,2121
Apr 2012,18,101,1943,2045
Mar 2012,17,105,2014,2119
Feb 2012,17,98,1877,1974
Jan 2012,16,106,2046,2153
Dec 2011,19,101,2034,2135
Nov 2011,18,98,1978,2076
Oct 2011,22,100,2019,2119
Sep 2011,17,94,1893,1987
Aug 2011,16,97,1960,2057
Jul 2011,17,96,1937,2033
Jun 2011,16,92,1862,1954
May 2011,16,96,1935,2031
Apr 2011,13,93,1868,1961
Mar 2011,14,95,1908,2002
Feb 2011,20,82,1647,1729
Jan 2011,22,92,1861,1953
Dec 2010,15,95,1890,1984
Nov 2010,14,90,1802,1893
Oct 2010,13,93,1863,1956
Sep 2010,13,89,1772,1861
Aug 2010,15,91,1827,1918
Jul 2010,14,90,1806,1896
Jun 2010,13,86,1717,1802
May 2010,14,90,1797,1886
Apr 2010,15,86,1727,1813
Mar 2010,13,89,1776,1865
Feb 2010,12,80,1603,1683
Jan 2010,13,87,1737,1824
Dec 2009,13,85,1717,1802
Nov 2009,14,83,1674,1758
Oct 2009,13,86,1729,1815
Sep 2009,12,82,1652,1734
Aug 2009,14,87,1755,1842
Jul 2009,14,86,1741,1828
Jun 2009,14,85,1707,1792
May 2009,15,87,1756,1843
Apr 2009,14,84,1699,1783
Mar 2009,14,89,1786,1875
Feb 2009,13,81,1624,1705
Jan 2009,14,88,1782,1870
Dec 2008,16,83,1744,1827
Nov 2008,14,79,1679,1758
Oct 2008,16,79,1675,1754
Sep 2008,15,70,1489,1559
Aug 2008,14,82,1744,1826
Jul 2008,14,84,1769,1853
Jun 2008,13,80,1681,1761
May 2008,12,81,1717,1798
Apr 2008,13,79,1662,1740
Mar 2008,13,81,1723,1804
Feb 2008,14,75,1591,1666
Jan 2008,13,80,1686,1765
Dec 2007,12,82,1693,1775
Nov 2007,12,79,1633,1712
Oct 2007,11,80,1654,1733
Sep 2007,11,77,1598,1675
Aug 2007,12,79,1634,1713
Jul 2007,13,78,1625,1703
Jun 2007,12,77,1590,1666
May 2007,12,79,1643,1723
