Month,Anadarko,Appalachia,Bakken,Eagle Ford,Haynesville,Niobrara,Permian
Sep 2007,872,484,79,1103,1103,1317,491
Oct 2007,871,490,79,1092,1125,1333,482
Nov 2007,867,495,79,1118,1152,1349,477
Dec 2007,865,499,78,1154,1180,1364,477
Jan 2008,871,503,79,1191,1211,1380,481
Feb 2008,881,515,82,1218,1240,1392,485
Mar 2008,888,530,85,1225,1264,1401,487
Apr 2008,891,548,90,1212,1282,1416,484
May 2008,894,565,95,1196,1288,1432,482
Jun 2008,890,581,101,1176,1282,1451,486
Jul 2008,885,597,105,1142,1267,1472,471
Aug 2008,884,616,107,1104,1252,1498,468
Sep 2008,894,637,107,1083,1244,1527,467
Oct 2008,913,656,108,1080,1249,1560,468
Nov 2008,937,674,110,1104,1278,1600,463
Dec 2008,966,694,115,1150,1329,1649,460
Jan 2009,1005,733,123,1206,1417,1711,462
Feb 2009,1054,785,133,1267,1554,1781,464
Mar 2009,1102,835,143,1322,1712,1848,466
Apr 2009,1150,880,154,1371,1924,1926,462
May 2009,1181,910,163,1398,2150,2005,457
Jun 2009,1191,928,172,1419,2387,2089,449
Jul 2009,1183,937,180,1442,2601,2172,443
Aug 2009,1181,949,188,1481,2795,2258,436
Sep 2009,1155,969,194,1536,2940,2344,423
Oct 2009,1171,1001,198,1566,3034,2427,413
Nov 2009,1189,1049,199,1567,3094,2509,403
Dec 2009,1205,1101,198,1551,3105,2578,401
Jan 2010,1225,1156,195,1521,3087,2632,404
Feb 2010,1256,1207,191,1486,3062,2664,407
Mar 2010,1293,1253,187,1448,3032,2672,408
Apr 2010,1333,1309,184,1375,3002,2656,402
May 2010,1360,1378,183,1274,2983,2615,394
Jun 2010,1367,1473,181,1172,2995,2549,382
Jul 2010,1353,1579,178,1097,3039,2470,365
Aug 2010,1325,1681,175,1056,3106,2377,345
Sep 2010,1308,1773,170,1050,3201,2281,325
Oct 2010,1286,1854,165,1053,3322,2189,309
Nov 2010,1273,1936,159,1058,3497,2094,292
Dec 2010,1261,2008,154,1076,3706,2006,274
Jan 2011,1255,2071,152,1108,3942,1923,255
Feb 2011,1255,2127,154,1145,4164,1851,236
Mar 2011,1257,2177,159,1178,4357,1799,224
Apr 2011,1259,2243,168,1209,4589,1750,217
May 2011,1255,2318,178,1227,4829,1714,215
Jun 2011,1243,2402,189,1240,5043,1687,217
Jul 2011,1218,2477,201,1249,5162,1671,221
Aug 2011,1178,2546,213,1258,5188,1666,223
Sep 2011,1133,2612,224,1260,5131,1669,222
Oct 2011,1093,2676,234,1249,5045,1679,221
Nov 2011,1061,2750,244,1231,4987,1693,219
Dec 2011,1037,2832,251,1217,4941,1704,214
Jan 2012,1021,2930,257,1207,4882,1709,223
Feb 2012,1016,3042,261,1199,4813,1704,225
Mar 2012,1018,3161,263,1191,4787,1689,230
Apr 2012,1027,3307,265,1187,4847,1662,240
May 2012,1037,3462,267,1188,4957,1627,245
Jun 2012,1045,3620,271,1202,5049,1585,253
Jul 2012,1048,3763,275,1229,5122,1545,253
Aug 2012,1049,3909,279,1259,5215,1506,252
Sep 2012,1051,4072,282,1286,5299,1475,252
Oct 2012,1049,4258,285,1313,5327,1451,252
Nov 2012,1046,4480,288,1352,5325,1431,251
Dec 2012,1048,4703,292,1401,5314,1415,254
Jan 2013,1058,4919,300,1457,5321,1400,260
Feb 2013,1074,5115,312,1514,5315,1384,272
Mar 2013,1091,5279,325,1560,5250,1369,284
Apr 2013,1113,5452,341,1603,5063,1355,298
May 2013,1130,5620,356,1639,4783,1345,314
Jun 2013,1145,5783,370,1670,4479,1340,334
Jul 2013,1153,5914,380,1689,4284,1342,351
Aug 2013,1176,6024,387,1699,4170,1347,362
Sep 2013,1161,6116,392,1698,4086,1353,369
Oct 2013,1115,6186,396,1693,3984,1355,377
Nov 2013,1073,6248,401,1689,3922,1357,384
Dec 2013,1035,6306,406,1698,3998,1357,391
Jan 2014,999,6389,412,1724,4201,1355,397
Feb 2014,962,6503,418,1760,4407,1352,403
Mar 2014,933,6626,424,1786,4543,1352,408
Apr 2014,916,6765,434,1803,4600,1353,414
May 2014,916,6872,446,1823,4562,1361,417
Jun 2014,934,6925,461,1860,4468,1375,418
Jul 2014,960,6933,476,1916,4351,1393,421
Aug 2014,989,6938,491,1985,4213,1414,422
Sep 2014,997,6972,506,2051,4062,1439,417
Oct 2014,986,7052,521,2104,3946,1466,408
