Month,Anadarko,Appalachia,Bakken,Eagle Ford,Haynesville,Niobrara,Permian
Aug 2007,173,61,55,60,189,115,248
Sep 2007,168,59,50,60,182,119,247
Oct 2007,174,58,52,53,181,117,242
Nov 2007,182,57,54,56,184,118,240
Dec 2007,182,63,58,58,186,111,253
Jan 2008,180,56,55,55,175,101,249
Feb 2008,187,55,60,49,176,114,250
Mar 2008,190,50,63,60,178,117,257
Apr 2008,190,51,64,67,179,120,259
May 2008,189,53,70,71,190,120,261
Jun 2008,188,54,77,64,199,112,285
Jul 2008,194,54,75,64,199,114,287
Aug 2008,204,58,76,68,222,118,285
Sep 2008,206,63,77,67,240,118,285
Oct 2008,197,62,80,73,239,118,276
Nov 2008,181,60,90,72,244,127,253
Dec 2008,150,60,87,62,230,112,234
Jan 2009,128,51,73,46,210,91,194
Feb 2009,105,53,65,39,182,69,162
Mar 2009,84,52,51,37,156,58,129
Apr 2009,72,56,42,37,146,52,93
May 2009,62,55,35,32,136,45,92
Jun 2009,57,65,35,30,126,46,99
Jul 2009,59,71,40,34,133,46,113
Aug 2009,63,76,44,39,148,45,125
Sep 2009,64,77,47,46,154,46,136
Oct 2009,69,84,51,43,161,39,149
Nov 2009,76,90,60,46,175,40,170
Dec 2009,93,90,66,62,188,43,177
Jan 2010,100,98,74,64,211,45,193
Feb 2010,107,97,85,76,230,48,192
Mar 2010,113,99,97,89,234,51,188
Apr 2010,122,105,101,96,237,51,209
May 2010,131,105,103,98,231,52,227
Jun 2010,137,112,116,104,231,51,240
Jul 2010,145,115,124,119,234,56,244
Aug 2010,151,118,134,131,228,68,256
Sep 2010,158,119,132,140,220,67,269
Oct 2010,174,128,140,149,217,71,277
Nov 2010,174,128,143,145,212,77,293
Dec 2010,184,131,148,143,200,75,312
Jan 2011,187,129,156,136,190,77,333
Feb 2011,174,135,156,145,167,74,369
Mar 2011,181,125,161,147,164,82,377
Apr 2011,194,126,168,154,161,81,394
May 2011,197,134,169,160,157,83,419
Jun 2011,197,140,170,173,148,84,430
Jul 2011,202,144,166,180,139,86,439
Aug 2011,213,142,180,206,137,84,447
Sep 2011,214,143,190,218,136,88,456
Oct 2011,219,151,195,216,138,92,468
Nov 2011,208,148,194,215,133,96,476
Dec 2011,206,151,195,223,121,94,474
Jan 2012,216,154,197,225,115,88,472
Feb 2012,225,152,200,224,98,83,481
Mar 2012,226,138,213,237,86,81,486
Apr 2012,224,133,213,241,75,80,500
May 2012,226,131,216,251,67,81,510
Jun 2012,223,126,218,247,60,83,525
Jul 2012,227,122,214,248,54,82,517
Aug 2012,210,115,207,247,50,82,512
Sep 2012,198,109,201,243,47,79,501
Oct 2012,196,115,199,241,42,81,496
Nov 2012,195,120,193,240,44,77,484
Dec 2012,197,123,193,239,45,77,468
Jan 2013,202,125,192,232,48,76,463
Feb 2013,211,119,188,229,45,80,467
Mar 2013,206,120,185,223,46,80,472
Apr 2013,208,115,184,231,44,82,467
May 2013,214,114,183,231,41,82,466
Jun 2013,209,109,184,225,43,86,468
Jul 2013,206,113,181,231,44,93,462
Aug 2013,206,123,178,232,47,94,463
Sep 2013,202,122,178,236,46,96,451
Oct 2013,215,122,179,227,46,96,446
Nov 2013,208,123,174,227,47,100,462
Dec 2013,204,124,180,233,47,97,473
Jan 2014,208,125,177,233,51,96,474
Feb 2014,208,122,174,234,52,96,485
Mar 2014,212,118,181,239,54,98,509
Apr 2014,225,118,184,238,53,96,532
May 2014,225,122,180,232,52,94,545
Jun 2014,228,123,174,229,49,98,550
Jul 2014,233,124,179,231,48,100,556
Aug 2014,240,123,189,228,52,101,556
Sep 2014,247,127,194,234,55,105,559
Oct 2014,240,130,191,247,52,109,559
Nov 2014,243,131,189,236,49,107,565
Dec 2014,239,130,181,228,50,105,544
Jan 2015,207,123,157,205,53,94,480
Feb 2015,161,109,123,169,49,75,375
Mar 2015,136,99,101,137,41,56,306
Apr 2015,119,97,86,118,32,51,263
May 2015,99,91,78,106,29,50,234
Jun 2015,103,86,75,96,28,46,232
Jul 2015,104,82,69,94,31,46,241
Aug 2015,107,74,70,91,37,45,254
Sep 2015,103,70,68,82,35,42,251
Oct 2015,91,66,63,79,29,38,234
Nov 2015,84,63,62,71,33,35,227
Dec 2015,87,58,56,74,33,30,212
Jan 2016,84,50,45,63,25,26,199
Feb 2016,71,42,38,50,18,23,171
Mar 2016,65,41,32,40,17,18,152
Apr 2016,60,39,27,37,16,18,139
May 2016,55,36,24,29,17,16,137
Jun 2016,56,36,24,30,20,16,145
Jul 2016,60,36,27,34,19,20,162
Aug 2016,62,37,28,38,19,21,187
Sep 2016,69,45,28,37,17,23,199
Oct 2016,78,49,31,32,20,26,206
Nov 2016,80,53,35,36,24,28,222
Dec 2016,83,59,32,43,29,36,252
Jan 2017,84,61,34,52,32,38,276
Feb 2017,96,63,36,64,37,36,300
Mar 2017,105,64,41,76,42,37,310
Apr 2017,118,68,43,83,44,37,337
May 2017,116,68,44,92,46,41,356
Jun 2017,125,73,49,91,46,46,366
Jul 2017,129,75,53,85,48,47,373
Aug 2017,,,,,,,
Sep 2017,,,,,,,
