Date,"Antrim (MI, IN & OH)",Bakken (ND & MT),Woodford (OK),Barnett (TX),Fayetteville (AR),Eagle Ford (TX),Haynesville (LA & TX),"Marcellus (PA, WV, OH & NY)","Utica (OH, PA & WV)",Permian (TX & NM),Rest of US shale
Jan 2000,0.482,0.014,0.009,0.134,0,0,0.124,0.001,0,0.532,0.764
Feb 2000,0.484,0.013,0.009,0.143,0,0,0.124,0.001,0,0.543,0.762
Mar 2000,0.491,0.013,0.009,0.154,0,0,0.125,0.001,0,0.565,0.755
Apr 2000,0.486,0.013,0.009,0.16,0,0,0.127,0.001,0,0.572,0.778
May 2000,0.484,0.013,0.009,0.165,0,0,0.128,0.001,0,0.58,0.766
Jun 2000,0.482,0.013,0.008,0.176,0,0,0.12,0.001,0,0.581,0.754
Jul 2000,0.481,0.013,0.009,0.184,0,0,0.124,0.001,0,0.585,0.737
Aug 2000,0.451,0.012,0.009,0.196,0,0,0.126,0.001,0,0.586,0.765
Sep 2000,0.488,0.013,0.009,0.221,0,0,0.124,0.001,0,0.603,0.761
Oct 2000,0.487,0.013,0.008,0.237,0,0,0.127,0.001,0,0.586,0.778
Nov 2000,0.484,0.012,0.008,0.233,0,0,0.125,0.001,0,0.569,0.786
Dec 2000,0.484,0.012,0.008,0.249,0,0,0.122,0.001,0,0.566,0.781
Jan 2001,0.47,0.012,0.008,0.251,0,0,0.117,0.001,0,0.565,0.8
Feb 2001,0.467,0.012,0.008,0.257,0,0,0.118,0.001,0,0.572,0.792
Mar 2001,0.464,0.012,0.008,0.257,0,0,0.119,0.001,0,0.57,0.804
Apr 2001,0.462,0.012,0.008,0.284,0,0,0.121,0.001,0,0.579,0.778
May 2001,0.47,0.012,0.007,0.298,0,0,0.125,0.001,0,0.578,0.8
Jun 2001,0.465,0.012,0.006,0.307,0,0,0.123,0.001,0,0.581,0.8
Jul 2001,0.463,0.012,0.008,0.304,0,0,0.125,0.001,0,0.576,0.793
Aug 2001,0.458,0.012,0.008,0.344,0,0,0.124,0.001,0,0.587,0.8
Sep 2001,0.457,0.012,0.009,0.358,0,0,0.119,0.001,0,0.582,0.804
Oct 2001,0.46,0.012,0.008,0.369,0,0,0.119,0.001,0,0.568,0.805
Nov 2001,0.455,0.012,0.008,0.392,0,0,0.12,0.001,0,0.555,0.822
Dec 2001,0.448,0.012,0.008,0.417,0,0,0.117,0,0,0.548,0.831
Jan 2002,0.451,0.012,0.009,0.433,0,0,0.117,0,0,0.537,0.837
Feb 2002,0.446,0.011,0.008,0.451,0,0,0.12,0,0,0.537,0.835
Mar 2002,0.444,0.011,0.008,0.469,0,0,0.118,0,0,0.539,0.836
Apr 2002,0.441,0.012,0.008,0.477,0,0,0.121,0,0,0.55,0.824
May 2002,0.439,0.012,0.008,0.508,0,0,0.123,0,0,0.558,0.837
Jun 2002,0.432,0.012,0.008,0.52,0,0,0.124,0,0,0.555,0.822
Jul 2002,0.44,0.012,0.008,0.53,0,0,0.125,0,0,0.553,0.796
Aug 2002,0.442,0.012,0.009,0.541,0,0,0.12,0,0,0.545,0.83
Sep 2002,0.435,0.011,0.009,0.547,0,0.001,0.121,0,0,0.553,0.818
Oct 2002,0.422,0.012,0.009,0.573,0,0,0.101,0.001,0,0.538,0.814
Nov 2002,0.435,0.012,0.008,0.58,0,0,0.118,0.001,0,0.531,0.818
Dec 2002,0.428,0.012,0.008,0.589,0,0,0.116,0.001,0,0.525,0.803
Jan 2003,0.418,0.012,0.008,0.615,0,0,0.111,0.001,0,0.526,0.823
Feb 2003,0.403,0.013,0.008,0.629,0,0,0.113,0.001,0,0.534,0.821
Mar 2003,0.402,0.012,0.009,0.655,0,0,0.111,0.001,0,0.542,0.817
Apr 2003,0.408,0.012,0.009,0.663,0,0,0.106,0.001,0,0.547,0.806
May 2003,0.403,0.012,0.009,0.681,0,0,0.106,0.001,0,0.54,0.833
Jun 2003,0.405,0.013,0.009,0.709,0,0,0.102,0.001,0,0.544,0.839
Jul 2003,0.416,0.014,0.011,0.742,0,0,0.101,0.001,0,0.562,0.82
Aug 2003,0.408,0.013,0.009,0.749,0,0,0.097,0.001,0,0.561,0.822
Sep 2003,0.385,0.014,0.009,0.779,0,0,0.099,0.001,0,0.558,0.834
Oct 2003,0.4,0.015,0.01,0.795,0,0,0.097,0.001,0,0.551,0.83
Nov 2003,0.408,0.015,0.01,0.816,0,0,0.095,0.001,0,0.564,0.829
Dec 2003,0.41,0.015,0.01,0.829,0,0,0.095,0.001,0,0.548,0.83
Jan 2004,0.397,0.015,0.01,0.812,0,0,0.09,0.001,0,0.536,0.827
Feb 2004,0.4,0.015,0.011,0.822,0,0,0.09,0.001,0,0.536,0.838
Mar 2004,0.396,0.016,0.011,0.821,0,0,0.089,0.001,0,0.548,0.832
Apr 2004,0.397,0.017,0.014,0.855,0,0,0.088,0.001,0,0.544,0.856
May 2004,0.394,0.017,0.013,0.861,0,0,0.089,0.001,0,0.543,0.843
Jun 2004,0.391,0.017,0.015,0.862,0,0,0.086,0.001,0,0.546,0.844
Jul 2004,0.394,0.017,0.016,0.87,0,0,0.093,0.001,0,0.541,0.842
Aug 2004,0.396,0.016,0.017,0.889,0,0,0.093,0.001,0,0.522,0.836
Sep 2004,0.394,0.018,0.017,0.912,0,0,0.097,0.001,0,0.535,0.835
Oct 2004,0.393,0.018,0.018,0.934,0.001,0,0.096,0.001,0,0.554,0.832
Nov 2004,0.389,0.022,0.015,0.953,0.001,0,0.094,0.001,0,0.556,0.834
Dec 2004,0.366,0.024,0.014,0.959,0.001,0,0.089,0.001,0,0.558,0.833
Jan 2005,0.372,0.024,0.016,0.975,0.001,0,0.092,0.001,0,0.555,0.812
Feb 2005,0.38,0.027,0.018,1.023,0.001,0,0.09,0.001,0,0.579,0.83
