Date,NFG US Equity COMMON,EQT US Equity COMMON,RRC US Equity COMMON,XOM US Equity COMMON,AR US Equity COMMON,CNX US Equity COMMON,STO US Equity COMMON,CHK US Equity COMMON
Jan 2006,33.47,38.43,28.71,60.97,50.07,36.405,24.87,30.7788
Jan 2006,33.8,38.73,29.37,61.54,49.69,36.475,25.54,31.6301
Jan 2006,33.34,38.2,28.62,60.68,47.8,35.92,24.76,30.9775
Jan 2006,33.53,38.15,29.78,61.5,47.38,36.49,25.9,31.422
Jan 2006,33.46,38.3,29.5,60.53,46.08,35.92,25.98,31.7153
Jan 2006,33.28,37.93,29.03,61.2,46.14,35.49,26.58,31.4126
Jan 2006,33.4,38.09,28.9,60.96,48.66,36.725,26.54,31.772
Jan 2006,33.01,37.81,28.25,60.21,52.44,36.075,26.13,30.4572
Jan 2006,32.64,36.2,27.74,59.95,50.21,35.86,26.4,29.8803
Jan 2006,33.2,36.73,28.37,61.29,49.46,36.07,26.87,30.5897
Jan 2006,32.8,36.7,29.27,63.11,49.88,36.35,27.45,32.4909
Jan 2006,32.9,36.9,29.87,62.75,47.75,36.45,27.69,33.1435
Feb 2006,30.75,34.27,24.27,59.55,52.31,30.575,24.19,27.2791
Feb 2006,30.74,34.28,24.25,59.76,52.8,30.235,24.5,27.3831
Feb 2006,31.21,34.85,24.98,60.25,55.06,31.225,25.24,27.9601
Feb 2006,31.56,35.08,25.1,60.55,54.78,31.565,25.56,28.1209
Feb 2006,32.21,35.13,25.95,60.76,55.06,32.45,26.49,29.0195
Feb 2006,32.28,35.4,24.88,60.26,55.51,31.875,25.42,27.9034
Feb 2006,32.3,35.24,24.53,59.83,53.18,32.16,25.61,27.7142
Feb 2006,32.44,35.7,24.83,60.42,52.51,32.785,26.04,28.3763
Feb 2006,32.4,36.15,24.32,59.92,52.27,32.02,25.7,27.3548
Feb 2006,32.38,36.36,23.93,59.37,52.15,32.01,25.58,28.0831
Mar 2006,32.51,36.31,24.9,60.34,52.3,32.6,26.05,28.783
Mar 2006,32.68,37.77,25.8,61.05,38.6,32.685,26.87,29.7951
Mar 2006,32.56,37.28,25.08,60.66,39.19,32.29,26.45,28.5277
Mar 2006,32.21,36.57,24.91,60.72,39.04,32.7,26.19,28.1966
Mar 2006,32.49,36.54,25.55,61.05,39.22,34.575,26.47,28.556
Mar 2006,32.13,36.21,26.18,61.25,39.89,36.15,26.54,29.0573
Mar 2006,32.49,36.33,26.59,61.17,39.55,35.75,26.93,29.5114
Mar 2006,32.6,36.28,26.91,61.29,40.99,35.88,27.37,29.7951
Mar 2006,32.79,36.39,27.59,60.95,43.33,35.93,27.37,30.0316
Mar 2006,32.86,36.86,27.84,61.28,43.05,36.09,28.41,30.3627
Mar 2006,32.95,36.63,28.11,61.12,44.01,36.675,28.78,29.9843
Mar 2006,32.72,36.51,27.31,60.86,42.66,37.08,28.48,29.71
Apr 2006,32.76,36.6,27.53,61.03,43.14,38.54,29.03,29.8708
Apr 2006,32.38,36.28,27.52,61.75,42.5,39.25,29,30.2019
Apr 2006,33.06,36.22,29.44,63.92,36.53,41.655,33,31.0342
Apr 2006,33.38,36.66,29.79,65,36.28,42.505,33.16,31.4504
Apr 2006,33.3,36.75,29.41,64.41,36.1,43.225,32.83,30.741
Apr 2006,32.99,36.25,28.72,63.95,35.18,42.925,32.26,30.3816
Apr 2006,32.86,36.1,28.2,63.1,37.22,42.935,33,30.2208
Apr 2006,32.83,35.75,27.22,62.42,36.55,41.555,32.57,29.6532
Apr 2006,33.25,35.51,26.53,63.08,37,42.58,32.78,29.9654
May 2006,33.74,35.54,27.39,63.42,35.91,43.495,33.21,30.3343
May 2006,33.93,35.4,27.75,64.67,35.49,44.1,33.94,31.649
May 2006,33.61,35.16,27.28,63.77,36.65,44.805,33.7,31.4315
May 2006,33.8,35.1,27.41,63.31,36.82,44.57,33.82,31.1666
May 2006,34.29,35.4,27.6,64,34.59,45.575,34.52,31.0721
May 2006,34.93,35.4,27.45,63.71,34.02,45.65,32.01,31.0721
May 2006,35.13,35.33,27.25,63.94,34.65,45.605,32.27,31.2707
May 2006,35.06,35.12,27.3,63.88,36.55,47.105,32.37,31.2045
May 2006,35.11,35,28.22,63.46,38.58,48.135,31.9,30.9775
May 2006,35.35,33.31,25.04,61.52,41.04,42.735,29.21,28.3763
May 2006,35.4,33.17,25.36,61.58,41.28,43.9,29.63,28.3952
May 2006,35.55,33.42,25.08,60.2,40.24,42.94,29.07,28.225
