Month,Working Gas,Base Gas,Injections into Underground,Volume,Withdrawals,Net Withdrawals,Capacity
May 2017,2636,4377,423,7012,82,-341,9251
Apr 2017,2300,4371,341,6671,111,-230,9251
Mar 2017,2072,4370,167,6441,443,275,9240
Feb 2017,2346,4369,131,6715,416,285,9240
Jan 2017,2631,4370,101,7001,776,675,9240
Dec 2016,3305,4371,87,7675,763,676,9239
Nov 2016,3985,4364,178,8348,213,35,9236
Oct 2016,4021,4362,387,8383,78,-308,9236
Sep 2016,3714,4360,351,8073,88,-262,9236
Aug 2016,3450,4360,285,7810,162,-124,9236
Jul 2016,3327,4360,283,7686,150,-133,9236
Jun 2016,3194,4360,316,7554,94,-222,9237
May 2016,2975,4357,402,7332,75,-327,9233
Apr 2016,2654,4355,294,7009,130,-164,9232
Mar 2016,2495,4352,215,6847,272,57,9229
Feb 2016,2543,4361,111,6904,515,403,9235
Jan 2016,2947,4361,66,7307,795,729,9225
Dec 2015,3675,4363,138,8038,403,264,9231
Nov 2015,3935,4368,201,8303,214,12,9229
Oct 2015,3951,4365,401,8316,70,-331,9228
Sep 2015,3622,4365,435,7987,63,-372,9227
Aug 2015,3250,4364,394,7614,85,-309,9222
Jul 2015,2933,4372,379,7305,96,-283,9231
Jun 2015,2656,4367,430,7023,68,-362,9231
May 2015,2296,4363,542,6659,44,-497,9231
Apr 2015,1802,4360,405,6162,84,-321,9233
Mar 2015,1480,4361,182,5841,376,193,9233
Feb 2015,1674,4360,62,6034,803,742,9232
Jan 2015,2415,4361,70,6776,795,725,9233
Dec 2014,3141,4365,143,7506,429,286,9233
Nov 2014,3427,4367,200,7794,361,161,9233
Oct 2014,3587,4367,452,7955,52,-400,9210
Sep 2014,3187,4369,469,7556,47,-422,9207
Aug 2014,2768,4366,447,7135,73,-374,9210
Jul 2014,2400,4361,463,6761,63,-400,9202
Jun 2014,2005,4358,506,6364,44,-463,9185
May 2014,1548,4353,529,5901,51,-478,9177
Apr 2014,1066,4357,323,5423,105,-217,9165
Mar 2014,857,4350,134,5207,488,353,9164
Feb 2014,1200,4360,104,5560,833,728,9164
Jan 2014,1925,4363,68,6288,1039,971,9165
Dec 2013,2890,4365,94,7255,808,714,9173
