Month,Anadarko,Appalachia,Bakken,Eagle Ford,Haynesville,Niobrara,Permian
Aug 2007,-134,-17,-3,-60,-156,-96,-109
Sep 2007,-137,-16,-3,-61,-161,-97,-113
Oct 2007,-140,-16,-3,-62,-166,-99,-116
Nov 2007,-143,-15,-3,-63,-171,-100,-119
Dec 2007,-147,-15,-3,-64,-176,-101,-123
Jan 2008,-150,-15,-4,-65,-181,-103,-126
Feb 2008,-153,-15,-4,-66,-186,-104,-128
Mar 2008,-156,-15,-4,-67,-191,-105,-128
Apr 2008,-157,-16,-4,-67,-196,-107,-127
May 2008,-159,-18,-4,-68,-200,-108,-125
Jun 2008,-161,-20,-4,-68,-205,-109,-124
Jul 2008,-162,-22,-4,-69,-209,-110,-123
Aug 2008,-162,-24,-5,-70,-214,-111,-122
Sep 2008,-161,-25,-5,-71,-218,-112,-121
Oct 2008,-160,-25,-5,-71,-223,-113,-121
Nov 2008,-158,-24,-5,-71,-229,-114,-119
Dec 2008,-155,-24,-5,-71,-235,-115,-117
Jan 2009,-152,-24,-5,-70,-242,-116,-113
Feb 2009,-148,-25,-5,-69,-249,-117,-108
Mar 2009,-144,-26,-6,-68,-256,-118,-103
Apr 2009,-139,-28,-6,-67,-263,-119,-99
May 2009,-135,-29,-6,-66,-273,-121,-95
Jun 2009,-130,-29,-6,-65,-281,-122,-92
Jul 2009,-126,-28,-6,-65,-293,-123,-89
Aug 2009,-122,-26,-7,-65,-302,-124,-88
Sep 2009,-117,-24,-7,-65,-315,-125,-88
Oct 2009,-114,-23,-7,-65,-326,-126,-86
Nov 2009,-112,-24,-8,-65,-339,-127,-85
Dec 2009,-110,-25,-8,-65,-354,-127,-84
Jan 2010,-110,-26,-8,-65,-368,-127,-84
Feb 2010,-112,-27,-9,-65,-382,-127,-85
Mar 2010,-116,-29,-9,-65,-396,-126,-86
Apr 2010,-122,-31,-9,-66,-411,-126,-89
May 2010,-130,-32,-9,-67,-426,-126,-91
Jun 2010,-136,-33,-10,-69,-442,-125,-93
Jul 2010,-142,-34,-10,-72,-456,-125,-94
Aug 2010,-149,-37,-11,-75,-472,-126,-94
Sep 2010,-156,-42,-11,-77,-487,-126,-93
Oct 2010,-165,-49,-11,-80,-502,-127,-91
Nov 2010,-174,-58,-12,-83,-517,-128,-90
Dec 2010,-183,-66,-13,-85,-532,-129,-90
Jan 2011,-191,-73,-13,-88,-546,-131,-90
Feb 2011,-199,-78,-14,-91,-561,-132,-90
Mar 2011,-204,-83,-15,-95,-573,-134,-90
Apr 2011,-207,-91,-16,-99,-586,-135,-89
May 2011,-209,-99,-16,-104,-595,-137,-89
Jun 2011,-210,-110,-17,-109,-601,-139,-88
Jul 2011,-209,-120,-18,-115,-604,-139,-88
Aug 2011,-209,-129,-19,-121,-603,-141,-87
Sep 2011,-207,-139,-20,-126,-608,-142,-88
Oct 2011,-204,-149,-21,-132,-596,-142,-88
Nov 2011,-202,-159,-22,-138,-590,-143,-90
Dec 2011,-200,-168,-23,-144,-588,-143,-92
Jan 2012,-199,-175,-25,-151,-576,-143,-94
Feb 2012,-196,-181,-26,-157,-568,-143,-96
Mar 2012,-193,-188,-27,-163,-559,-142,-97
Apr 2012,-191,-198,-28,-170,-549,-142,-97
May 2012,-190,-208,-29,-176,-537,-143,-98
Jun 2012,-190,-218,-30,-182,-524,-142,-98
Jul 2012,-190,-224,-32,-190,-509,-142,-97
Aug 2012,-190,-228,-33,-197,-497,-141,-97
Sep 2012,-189,-232,-35,-205,-483,-140,-97
Oct 2012,-188,-240,-36,-213,-469,-141,-96
Nov 2012,-187,-251,-38,-222,-455,-139,-96
Dec 2012,-187,-263,-39,-230,-443,-139,-97
Jan 2013,-187,-275,-40,-239,-431,-137,-98
Feb 2013,-190,-283,-41,-248,-420,-136,-101
Mar 2013,-193,-291,-42,-255,-412,-135,-105
Apr 2013,-198,-301,-43,-263,-406,-134,-109
May 2013,-201,-311,-43,-268,-393,-132,-111
Jun 2013,-201,-322,-44,-275,-386,-131,-113
Jul 2013,-200,-334,-44,-278,-372,-129,-112
Aug 2013,-196,-347,-45,-286,-360,-127,-112
Sep 2013,-192,-361,-46,-290,-348,-125,-111
Oct 2013,-188,-375,-46,-297,-334,-123,-112
Nov 2013,-184,-392,-47,-303,-322,-122,-113
Dec 2013,-182,-406,-48,-309,-314,-120,-116
Jan 2014,-180,-419,-49,-315,-303,-118,-120
Feb 2014,-181,-433,-50,-322,-293,-117,-125
Mar 2014,-181,-444,-51,-328,-284,-115,-130
Apr 2014,-183,-455,-51,-334,-275,-114,-135
May 2014,-184,-465,-52,-339,-266,-113,-139
Jun 2014,-186,-474,-53,-342,-256,-111,-140
Jul 2014,-187,-480,-53,-349,-252,-110,-139
Aug 2014,-187,-488,-53,-352,-244,-109,-137
Sep 2014,-189,-502,-54,-358,-242,-108,-136
Oct 2014,-190,-519,-53,-364,-238,-107,-136
Nov 2014,-193,-540,-53,-370,-236,-105,-137
Dec 2014,-196,-558,-53,-377,-234,-104,-138
Jan 2015,-200,-572,-52,-381,-231,-104,-141
Feb 2015,-205,-582,-52,-387,-230,-103,-145
Mar 2015,-208,-585,-52,-391,-228,-102,-150
Apr 2015,-212,-583,-51,-394,-225,-101,-153
May 2015,-216,-575,-51,-396,-223,-101,-155
Jun 2015,-218,-570,-51,-396,-219,-101,-154
Jul 2015,-217,-568,-51,-395,-216,-102,-152
Aug 2015,-212,-571,-51,-392,-214,-102,-149
Sep 2015,-205,-577,-51,-390,-212,-102,-146
Oct 2015,-197,-582,-51,-384,-210,-103,-145
Nov 2015,-190,-582,-51,-378,-209,-103,-147
Dec 2015,-184,-578,-51,-374,-208,-103,-151
Jan 2016,-180,-575,-51,-365,-204,-104,-157
Feb 2016,-178,-574,-51,-358,-200,-104,-161
Mar 2016,-176,-573,-51,-352,-195,-105,-162
Apr 2016,-173,-575,-50,-344,-188,-105,-163
May 2016,-168,-579,-50,-338,-181,-105,-162
Jun 2016,-160,-586,-50,-331,-175,-106,-160
Jul 2016,-151,-594,-50,-325,-168,-106,-157
Aug 2016,-147,-596,-50,-318,-162,-107,-159
Sep 2016,-149,-605,-50,-311,-155,-107,-162
Oct 2016,-154,-615,-50,-304,-149,-108,-166
Nov 2016,-160,-624,-50,-297,-142,-108,-170
Dec 2016,-166,-632,-50,-291,-136,-109,-174
