Month,Production (Dry),Imports,Exports,Consumption
Jun 1975,1563,76.307,3.624,1257
Jul 1975,1604,80.037,8.091,1313
Aug 1975,1604,75.311,6.288,1369
Sep 1975,1533,73.606,6.037,1370
Oct 1975,1575,80.468,5.987,1544
Nov 1975,1548,80.761,5.202,1640
Dec 1975,1655,85.867,7.748,2049
Jan 1976,1676,84.395,5.323,2291
Feb 1976,1576,78.024,5.337,1938
Mar 1976,1641,84.91,6.007,1721
Apr 1976,1554,85.94,5.64,1508
May 1976,1601,81.65,4.664,1434
Jun 1976,1570,75.785,4.755,1335
Jul 1976,1604,73.108,5.997,1372
Aug 1976,1566,76.539,5.578,1317
Sep 1976,1498,74.125,6.54,1302
Oct 1976,1569,85.257,4.87,1621
Nov 1976,1566,80.926,5.163,1875
Dec 1976,1678,83.11,4.837,2232
Jan 1977,1665,86.944,4.785,2407
Feb 1977,1602,91.751,4.574,1816
Mar 1977,1676,100.826,4.289,1715
Apr 1977,1573,84.474,3.188,1439
May 1977,1619,85.697,3.158,1379
Jun 1977,1578,76.247,4.6,1333
Jul 1977,1602,72.499,7.016,1325
Aug 1977,1574,76.453,5.141,1364
Sep 1977,1530,75.446,4.621,1427
Oct 1977,1558,84.828,4.622,1518
Nov 1977,1537,86.3,4.735,1690
Dec 1977,1652,89.536,4.896,2108
Jan 1978,1669,85.796,5.005,2382
Feb 1978,1579,77.256,4.908,2139
Mar 1978,1673,85.621,4.775,1918
Apr 1978,1597,78.313,3.182,1539
May 1978,1593,73.829,4.615,1380
Jun 1978,1554,68.327,4.592,1249
Jul 1978,1621,71.557,4.616,1333
Aug 1978,1587,73.604,4.615,1285
Sep 1978,1509,73.236,6.097,1235
Oct 1978,1565,80.197,3.236,1440
Nov 1978,1538,90.783,3.307,1658
Dec 1978,1637,107.026,3.584,2069
Jan 1979,1702,102.237,6.589,2426
Feb 1979,1591,96.612,4.899,2204
Mar 1979,1686,112.962,4.789,1881
Apr 1979,1626,105.864,4.664,1594
May 1979,1648,104.317,4.652,1429
Jun 1979,1578,100.633,4.61,1309
Jul 1979,1596,103.754,6.075,1330
Aug 1979,1622,96.985,4.628,1342
Sep 1979,1570,97.936,4.645,1329
Oct 1979,1638,107.418,3.18,1557
Nov 1979,1656,114.564,3.395,1768
Dec 1979,1751,110.099,3.548,2072
Jan 1980,1751,118.006,6.444,2237.743
Feb 1980,1643,108.192,4.857,2146.771
Mar 1980,1760,108.648,4.799,2053.945
Apr 1980,1606,77.257,3.245,1534.606
May 1980,1630,70.207,3.144,1356.886
Jun 1980,1525,61.256,3.147,1254.894
Jul 1980,1554,60.6,2.585,1295.339
Aug 1980,1515,59.966,2.598,1282.343
Sep 1980,1518,60.19,5.051,1299.286
Oct 1980,1585,74.355,4.546,1522.266
Nov 1980,1588,88.279,3.5,1760.559
Dec 1980,1729,97.806,4.818,2128.957
Jan 1981,1684,91.149,5.468,2278.606
Feb 1981,1512,84.706,4.696,1895.003
Mar 1981,1668,79.82,5.32,1899.431
Apr 1981,1609,69.337,4.539,1488.053
May 1981,1632,62.377,3.524,1426.31
Jun 1981,1571,64.923,4.953,1308.775
Jul 1981,1598,66.184,5.336,1313.666
Aug 1981,1639,64.45,4.975,1312.564
Sep 1981,1516,67.316,5.776,1264.828
Oct 1981,1579,79.204,5.108,1518.67
Nov 1981,1522,81.94,5.14,1618.811
Dec 1981,1651,92.544,4.539,2076.436
Jan 1982,1663,98.077,3.173,2399.675
Feb 1982,1524,85.337,4.563,1984.032
Mar 1982,1612,81.648,4.599,1837.55
Apr 1982,1521,71.591,1.614,1485.344
May 1982,1493,65.324,3.074,1135.848
Jun 1982,1448,61.213,5.981,1114.557
Jul 1982,1468,66.839,4.54,1144.818
Aug 1982,1436,60.809,5.983,1151.351
Sep 1982,1377,65.515,4.515,1140.232
Oct 1982,1405,76.522,4.53,1310.003
Nov 1982,1420,90.532,4.58,1559.477
Dec 1982,1453,109.928,4.575,1738.63
Jan 1983,1524.154,112.108,4.59,2213.214
Feb 1983,1322.501,94.673,4.572,1843.29
Mar 1983,1360.5,85.912,4.585,1747.152
Apr 1983,1333.398,73.644,4.559,1496.541
May 1983,1330.089,61.135,4.583,1230.706
Jun 1983,1288.358,58.866,3.075,1066.512
Jul 1983,1334.914,58.094,4.548,1061.975
Aug 1983,1311.486,55.511,6.031,1099.67
Sep 1983,1248.684,66.866,4.482,1038.264
Oct 1983,1312.391,64.236,4.449,1101.002
Nov 1983,1308.812,80.498,4.567,1290.257
Dec 1983,1419.176,106.865,4.597,1646.329
Jan 1984,1651.3,97.339,4.585,2340.098
Feb 1984,1434.026,68.9,4.557,1954.809
Mar 1984,1475.387,69.161,5.998,1840.305
Apr 1984,1443.672,71.215,4.539,1598.622
May 1984,1440.085,65.967,4.559,1345.87
Jun 1984,1394.679,59.292,3.047,1175.392
Jul 1984,1446.399,55.459,4.542,1152.304
Aug 1984,1425.252,54.104,4.573,1153.879
Sep 1984,1358.004,56.831,4.549,1085.049
Oct 1984,1427.4,65.822,4.584,1180.176
Nov 1984,1424.52,84.502,4.578,1392.366
Dec 1984,1545.747,94.469,4.642,1731.657
Jan 1985,1565.199,103.893,4.668,2101.708
Feb 1985,1421.537,99.497,4.607,2147.152
Mar 1985,1418.707,89.554,6.065,1720.244
Apr 1985,1336.937,75.513,4.624,1445.883
May 1985,1322.864,73.439,1.642,1147.342
Jun 1985,1277.928,65.422,4.578,1076.486
Jul 1985,1308.858,59.497,6.053,1118.766
Aug 1985,1305.887,60.519,4.585,1118.153
Sep 1985,1279.881,63.268,4.562,1041.132
Oct 1985,1333.586,75.802,4.59,1147.302
Nov 1985,1337.835,77.078,4.651,1312.844
Dec 1985,1544.637,106.233,4.644,1903.931
Jan 1986,1544.509,99.415,4.674,2152.685
Feb 1986,1339.053,74.182,3.174,1885.053
Mar 1986,1421.419,54.684,5.297,1731.49
Apr 1986,1276.836,42.512,5.826,1347.833
May 1986,1301.42,52.179,3.017,1165.392
