Date,Ardmore Woodford Shale Play,Arkoma Woodford Shale Play,Barnett Shale Play,Cana Woodford Shale Play,DJ-Niobrara Shale Play,Eagle Ford Shale Play,Fayetteville Shale Play,Granite Wash Shale Play,Haynesville Shale Play,Marcellus Shale Play,Mississippian Shale Play,Permian Shale Play,Utica Shale Play,Williston Shale Play,Others Shale Play
Feb 2011,2,19,64,36,22,86,33,67,159,126,14,21,7,0,255
Feb 2011,3,19,63,36,22,89,32,67,160,125,15,20,7,0,248
Feb 2011,3,19,64,36,22,89,32,67,160,127,15,19,7,0,245
Feb 2011,3,19,61,36,22,89,32,67,160,127,15,21,7,0,247
Mar 2011,5,17,59,42,24,85,31,64,158,117,12,24,8,0,253
Mar 2011,4,19,57,43,24,81,31,64,156,118,11,24,8,0,242
Mar 2011,4,19,59,43,24,84,29,64,155,118,12,27,8,0,229
Mar 2011,4,19,57,43,26,83,31,63,156,118,5,27,8,0,240
Apr 2011,3,19,60,44,24,84,32,64,154,118,18,26,8,0,237
Apr 2011,4,17,60,41,24,90,31,67,156,120,15,24,9,0,231
Apr 2011,5,17,61,42,24,86,31,68,152,114,20,27,9,1,228
Apr 2011,5,17,64,42,24,72,30,67,153,116,21,27,9,1,230
Apr 2011,6,17,62,43,24,65,29,67,152,121,21,30,9,1,235
May 2011,6,17,64,45,24,64,28,70,155,123,21,32,10,1,230
May 2011,6,18,64,48,24,59,28,71,152,122,20,35,10,1,216
May 2011,6,18,63,47,24,58,29,71,149,125,18,40,10,1,207
May 2011,6,17,62,47,24,66,31,71,145,125,20,41,10,1,215
Jun 2011,6,17,61,47,24,68,32,70,144,125,20,43,10,1,219
Jun 2011,7,18,58,45,25,66,31,73,142,128,21,38,10,0,217
Jun 2011,7,16,56,47,24,64,31,72,141,127,21,33,13,0,218
Jun 2011,7,16,55,48,24,64,31,73,136,130,22,34,13,0,220
Jul 2011,7,16,57,49,26,65,31,66,132,133,22,32,13,0,225
Jul 2011,7,16,53,47,26,71,30,69,135,132,22,30,11,0,224
Jul 2011,7,17,54,46,25,75,31,70,131,132,22,31,11,0,233
Jul 2011,7,16,55,50,23,82,31,67,130,134,22,29,11,0,232
Jul 2011,6,17,55,50,22,79,29,67,130,131,20,31,11,0,229
Aug 2011,6,17,56,51,21,82,28,64,132,131,21,30,11,0,233
Aug 2011,6,17,56,53,24,88,28,65,131,134,21,30,10,0,233
Aug 2011,7,17,52,57,25,92,28,66,133,129,24,31,10,0,229
Aug 2011,6,17,52,57,25,91,28,68,126,131,26,34,10,0,227
Sep 2011,7,17,53,59,25,91,28,69,129,131,25,35,10,0,216
Sep 2011,7,17,53,58,25,93,27,67,129,132,26,34,10,0,214
