Daily Predicted,Date,Real Average Monthly/30
1485.233636,Jan 2018,1501.866667
1513.443853,Jan 2018,
1656.213327,Jan 2018,
1542.153085,Jan 2018,
1427.827096,Jan 2018,
1427.78193,Jan 2018,
1285.130113,Jan 2018,
1313.796854,Jan 2018,
1285.341334,Jan 2018,
1570.836293,Jan 2018,
1428.213713,Jan 2018,
1257.025614,Jan 2018,
1456.838715,Jan 2018,
1456.856194,Jan 2018,
1314.160117,Jan 2018,
1171.46055,Jan 2018,
1085.918077,Jan 2018,
1142.999139,Jan 2018,
1257.152337,Jan 2018,
1200.07771,Jan 2018,
1285.702662,Jan 2018,
1571.203811,Jan 2018,
1457.133834,Jan 2018,
1599.840642,Jan 2018,
1285.893114,Jan 2018,
1400.055763,Jan 2018,
1542.758474,Jan 2018,
1285.882168,Jan 2018,
1428.589576,Jan 2018,
1542.757816,Jan 2018,
1091.858933,Jan 2018,
1034.777553,Feb 2018,1381.966667
1063.318243,Feb 2018,
1263.103073,Feb 2018,
1491.428593,Feb 2018,
1434.347213,Feb 2018,
1263.103073,Feb 2018,
1120.399623,Feb 2018,
1177.481003,Feb 2018,
1120.399623,Feb 2018,
1006.236863,Feb 2018,
1091.858933,Feb 2018,
1548.509973,Feb 2018,
1634.132043,Feb 2018,
1148.940313,Feb 2018,
1091.858933,Feb 2018,
1091.858933,Feb 2018,
1206.021693,Feb 2018,
1377.265833,Feb 2018,
1605.591353,Feb 2018,
1519.969283,Feb 2018,
1063.318243,Feb 2018,
1291.643763,Feb 2018,
1634.132043,Feb 2018,
1434.347213,Feb 2018,
1519.969283,Feb 2018,
1091.858933,Feb 2018,
1063.318243,Feb 2018,
1291.643763,Feb 2018,
1434.347213,Mar 2018,1242.733333
1491.549091,Mar 2018,
1263.223571,Mar 2018,
1120.520121,Mar 2018,
1291.764261,Mar 2018,
1377.386331,Mar 2018,
1520.089781,Mar 2018,
1206.142191,Mar 2018,
1263.223571,Mar 2018,
1263.223571,Mar 2018,
1263.223571,Mar 2018,
1405.927021,Mar 2018,
1120.520121,Mar 2018,
1063.438741,Mar 2018,
863.6539115,Mar 2018,
1091.979431,Mar 2018,
1120.520121,Mar 2018,
1206.142191,Mar 2018,
1291.764261,Mar 2018,
1206.142191,Mar 2018,
1091.979431,Mar 2018,
1034.898051,Mar 2018,
1091.979431,Mar 2018,
1149.060811,Mar 2018,
1320.304951,Mar 2018,
1434.467711,Mar 2018,
1463.008401,Mar 2018,
1234.682881,Mar 2018,
1234.682881,Mar 2018,
1120.520121,Mar 2018,
1063.857251,Mar 2018,
1120.938631,Apr 2018,831.3333333
1035.316561,Apr 2018,
1120.938631,Apr 2018,
635.7469013,Apr 2018,
1149.479321,Apr 2018,
892.6131113,Apr 2018,
806.9910413,Apr 2018,
921.1538013,Apr 2018,
664.2875913,Apr 2018,
749.9096613,Apr 2018,
692.8282813,Apr 2018,
749.9096613,Apr 2018,
550.1248313,Apr 2018,
921.1538013,Apr 2018,
835.5317313,Apr 2018,
835.5317313,Apr 2018,
1006.775871,Apr 2018,
1092.397941,Apr 2018,
1206.560701,Apr 2018,
978.2351813,Apr 2018,
692.8282813,Apr 2018,
464.5027613,Apr 2018,
435.9620713,Apr 2018,
321.7993113,Apr 2018,
921.1538013,Apr 2018,
978.2351813,Apr 2018,
749.9096613,Apr 2018,
806.9910413,Apr 2018,
949.6944913,Apr 2018,
806.7693957,Apr 2018,
521.3624957,May 2018,459.5666667
407.1997357,May 2018,
350.1183557,May 2018,
264.4962857,May 2018,
407.1997357,May 2018,
749.6880157,May 2018,
749.6880157,May 2018,
749.6880157,May 2018,
521.3624957,May 2018,
521.3624957,May 2018,
464.2811157,May 2018,
321.5776657,May 2018,
721.1473257,May 2018,
835.3100857,May 2018,
749.6880157,May 2018,
835.3100857,May 2018,
606.9845657,May 2018,
606.9845657,May 2018,
350.1183557,May 2018,
578.4438757,May 2018,
578.4438757,May 2018,
578.4438757,May 2018,
664.0659457,May 2018,
664.0659457,May 2018,
521.3624957,May 2018,
578.4438757,May 2018,
492.8218057,May 2018,
578.4438757,May 2018,
492.8218057,May 2018,
750.0002258,May 2018,
835.6222958,May 2018,
750.0002258,Jun 2018,310.9333333
493.1340158,Jun 2018,
464.5933258,Jun 2018,
493.1340158,Jun 2018,
521.6747058,Jun 2018,
