Date,aa,bb,cc,Injections,Withdrawals,Net Withdrawals
Nov 2017,202845,288010,85166,6.7615,9.600333333,2.838866667
Oct 2017,384988,137468,-247520,12.83293333,4.582266667,-8.250666667
Sep 2017,423455,106920,-316535,14.11516667,3.564,-10.55116667
Aug 2017,355342,159732,-195610,11.84473333,5.3244,-6.520333333
Jul 2017,310273,160281,-149992,10.34243333,5.3427,-4.999733333
Jun 2017,387115,106288,-280827,12.90383333,3.542933333,-9.3609
May 2017,422758,81994,-340764,14.09193333,2.733133333,-11.3588
Apr 2017,341072,110922,-230151,11.36906667,3.6974,-7.6717
Mar 2017,167388,442746,275358,5.5796,14.7582,9.1786
Feb 2017,131419,416358,284938,4.380633333,13.8786,9.497933333
Jan 2017,101013,775712,674699,3.3671,25.85706667,22.48996667
Dec 2016,86656,762197,675541,2.888533333,25.40656667,22.51803333
Nov 2016,177903,213195,35292,5.9301,7.1065,1.1764
Oct 2016,386636,78239,-308397,12.88786667,2.607966667,-10.2799
Sep 2016,350787,88399,-262387,11.6929,2.946633333,-8.746233333
Aug 2016,285482,161716,-123765,9.516066667,5.390533333,-4.1255
Jul 2016,283189,150122,-133067,9.439633333,5.004066667,-4.435566667
Jun 2016,316418,94090,-222328,10.54726667,3.136333333,-7.410933333
May 2016,402385,73834,-328551,13.41283333,2.461133333,-10.9517
Apr 2016,294423,129944,-164479,9.8141,4.331466667,-5.482633333
Mar 2016,215369,263952,48583,7.178966667,8.7984,1.619433333
Feb 2016,111437,514528,403091,3.714566667,17.15093333,13.43636667
Jan 2016,66038,794704,728666,2.201266667,26.49013333,24.28886667
Dec 2015,138226,402564,264337,4.607533333,13.4188,8.811233333
Nov 2015,201289,213595,12306,6.709633333,7.119833333,0.4102
Oct 2015,400879,70047,-330832,13.36263333,2.3349,-11.02773333
Sep 2015,435394,63374,-372021,14.51313333,2.112466667,-12.4007
Aug 2015,394156,84994,-309162,13.13853333,2.833133333,-10.3054
Jul 2015,378806,94665,-284140,12.62686667,3.1555,-9.471333333
Jun 2015,430014,68449,-361564,14.3338,2.281633333,-12.05213333
May 2015,540872,44445,-496427,18.02906667,1.4815,-16.54756667
Apr 2015,404938,83652,-321286,13.49793333,2.7884,-10.70953333
Mar 2015,182080,375546,193465,6.069333333,12.5182,6.448833333
Feb 2015,61773,803302,741529,2.0591,26.77673333,24.71763333
Jan 2015,69913,795057,725144,2.330433333,26.5019,24.17146667
Dec 2014,142813,429214,286401,4.760433333,14.30713333,9.5467
Nov 2014,200392,361403,161011,6.679733333,12.04676667,5.367033333
Oct 2014,452353,52054,-400299,15.07843333,1.735133333,-13.3433
Sep 2014,468602,47070,-421532,15.62006667,1.569,-14.05106667
Aug 2014,446869,73368,-373501,14.89563333,2.4456,-12.45003333
Jul 2014,462998,63495,-399503,15.43326667,2.1165,-13.31676667
Jun 2014,506389,43752,-462637,16.87963333,1.4584,-15.42123333
May 2014,528763,51122,-477641,17.62543333,1.704066667,-15.92136667
Apr 2014,322912,105471,-217441,10.76373333,3.5157,-7.248033333
Mar 2014,134059,487513,353454,4.468633333,16.25043333,11.7818
Feb 2014,104374,832536,728162,3.479133333,27.7512,24.27206667
Jan 2014,68300,1038870,970569,2.276666667,34.629,32.3523
Dec 2013,93744,807979,714235,3.1248,26.93263333,23.80783333
Nov 2013,155030,365862,210832,5.167666667,12.1954,7.027733333
Oct 2013,339984,84363,-255621,11.3328,2.8121,-8.5207
Sep 2013,420833,66306,-354527,14.02776667,2.2102,-11.81756667
Aug 2013,373634,101608,-272026,12.45446667,3.386933333,-9.067533333
Jul 2013,373448,98733,-274716,12.44826667,3.2911,-9.1572
Jun 2013,440521,68653,-371868,14.68403333,2.288433333,-12.3956
May 2013,467693,48824,-418868,15.58976667,1.627466667,-13.96226667
Apr 2013,272168,135335,-136833,9.072266667,4.511166667,-4.5611
Mar 2013,102520,482543,380023,3.417333333,16.08476667,12.66743333
Feb 2013,44113,648024,603910,1.470433333,21.6008,20.13033333
Jan 2013,71973,793280,721307,2.3991,26.44266667,24.04356667
Dec 2012,104953,489707,384754,3.498433333,16.32356667,12.82513333
Nov 2012,155554,280933,125379,5.185133333,9.364433333,4.1793
Oct 2012,327767,85918,-241849,10.92556667,2.863933333,-8.061633333
Sep 2012,357109,66652,-290456,11.90363333,2.221733333,-9.681866667
Aug 2012,299798,133919,-165879,9.993266667,4.463966667,-5.5293
Jul 2012,263910,129567,-134343,8.797,4.3189,-4.4781
Jun 2012,323026,90800,-232226,10.76753333,3.026666667,-7.740866667
May 2012,357965,73735,-284231,11.93216667,2.457833333,-9.474366667
Apr 2012,263896,126403,-137493,8.796533333,4.213433333,-4.5831
Mar 2012,240351,205365,-34987,8.0117,6.8455,-1.166233333
Feb 2012,56243,515817,459574,1.874766667,17.1939,15.31913333
Jan 2012,74854,619332,544477,2.495133333,20.6444,18.14923333
Dec 2011,90432,473674,383241,3.0144,15.78913333,12.7747
Nov 2011,221389,183799,-37590,7.379633333,6.126633333,-1.253
Oct 2011,436748,51527,-385221,14.55826667,1.717566667,-12.8407
Sep 2011,453548,55418,-398130,15.11826667,1.847266667,-13.271
Aug 2011,370180,125989,-244191,12.33933333,4.199633333,-8.1397
Jul 2011,359267,115649,-243618,11.97556667,3.854966667,-8.1206
Jun 2011,420644,80472,-340172,14.02146667,2.6824,-11.33906667
May 2011,457725,58314,-399411,15.2575,1.9438,-13.3137
Apr 2011,312290,100096,-212194,10.40966667,3.336533333,-7.073133333
Mar 2011,167632,313952,146319,5.587733333,10.46506667,4.8773
Feb 2011,81827,666248,584421,2.727566667,22.20826667,19.4807
Jan 2011,50130,849115,798985,1.671,28.30383333,26.63283333
Dec 2010,65997,731181,665184,2.1999,24.3727,22.1728
Nov 2010,162517,236543,74025,5.417233333,7.884766667,2.4675
Oct 2010,407472,52156,-355316,13.5824,1.738533333,-11.84386667
Sep 2010,410927,52326,-358602,13.69756667,1.7442,-11.9534
Aug 2010,323214,137433,-185781,10.7738,4.5811,-6.1927
Jul 2010,339158,112493,-226665,11.30526667,3.749766667,-7.5555
Jun 2010,384815,63577,-321238,12.82716667,2.119233333,-10.70793333
May 2010,462812,52524,-410288,15.42706667,1.7508,-13.67626667
Apr 2010,427432,67931,-359501,14.24773333,2.264366667,-11.98336667
Mar 2010,206713,237569,30856,6.890433333,7.918966667,1.028533333
Feb 2010,37714,657184,619470,1.257133333,21.90613333,20.649
Jan 2010,62623,873468,810845,2.087433333,29.1156,27.02816667
Dec 2009,44093,737937,693844,1.469766667,24.5979,23.12813333
Nov 2009,173011,139546,-33465,5.767033333,4.651533333,-1.1155
Oct 2009,266173,98787,-167386,8.872433333,3.2929,-5.579533333
Sep 2009,351897,56736,-295161,11.7299,1.8912,-9.8387
Aug 2009,362273,87907,-274367,12.07576667,2.930233333,-9.145566667
Jul 2009,420802,82604,-338198,14.02673333,2.753466667,-11.27326667
Jun 2009,448064,62430,-385634,14.93546667,2.081,-12.85446667
May 2009,512359,45384,-466975,17.07863333,1.5128,-15.56583333
Apr 2009,356454,105648,-250807,11.8818,3.5216,-8.360233333
Mar 2009,201681,294397,92806,6.7227,9.813233333,3.093533333
Feb 2009,99949,471513,371564,3.331633333,15.7171,12.38546667
Jan 2009,78234,783292,705058,2.6078,26.10973333,23.50193333
Dec 2008,109519,622499,512979,3.650633333,20.74996667,17.0993
Nov 2008,193236,250495,57258,6.4412,8.349833333,1.9086
Oct 2008,333892,91443,-242449,11.12973333,3.0481,-8.081633333
Sep 2008,398325,97945,-300380,13.2775,3.264833333,-10.01266667
Aug 2008,442234,92221,-350013,14.74113333,3.074033333,-11.6671
Jul 2008,430005,88366,-341639,14.3335,2.945533333,-11.38796667
Jun 2008,422926,80529,-342397,14.09753333,2.6843,-11.41323333
May 2008,460684,56029,-404655,15.35613333,1.867633333,-13.4885
Apr 2008,295897,105508,-190388,9.863233333,3.516933333,-6.346266667
Mar 2008,130513,349985,219472,4.350433333,11.66616667,7.315733333
Feb 2008,55775,648340,592564,1.859166667,21.61133333,19.75213333
