Month,aa,bb,cc,U.S. Natural Gas Pipeline Exports to Canada,U.S. Natural Gas Pipeline Exports to Mexico,U.S. LNG Exports
2018-Nov,74427,133777,80100,2.4809,4.459233333,2.67
2018-Oct,68382,132778,80195,2.2794,4.425933333,2.673166667
2018-Sep,69823,125724,54733,2.327433333,4.1908,1.824433333
2018-Aug,66342,135108,45548,2.2114,4.5036,1.518266667
2018-Jul,59760,135068,53592,1.992,4.502266667,1.7864
2018-Jun,66725,134118,52462,2.224166667,4.4706,1.748733333
2018-May,63949,129110,60782,2.131633333,4.303666667,2.026066667
2018-Apr,80532,116027,50669,2.6844,3.867566667,1.688966667
2018-Mar,99489,128774,43553,3.3163,4.292466667,1.451766667
2018-Feb,87798,115089,52042,2.9266,3.8363,1.734733333
2018-Jan,98811,121696,51342,3.2937,4.056533333,1.7114
2018-Dec,97178,111815,41825,3.239266667,3.727166667,1.394166667
2018-Nov,74544,120378,32976,2.4848,4.0126,1.0992
2018-Oct,43471,129984,3000,1.449033333,4.3328,0.1
2018-Sep,61499,123722,16764,2.049966667,4.124066667,0.5588
2018-Aug,55012,132446,26768,1.833733333,4.414866667,0.892266667
2018-Jul,49750,123173,15739,1.658333333,4.105766667,0.524633333
2018-Jun,50715,115836,16445,1.6905,3.8612,0.548166667
2018-May,62768,115606,9874,2.092266667,3.853533333,0.329133333
2018-Apr,62931,104857,10036,2.0977,3.495233333,0.334533333
2018-Mar,81403,103413,10078,2.713433333,3.4471,0.335933333
2018-Feb,62192,97234,3309,2.073066667,3.241133333,0.1103
2018-Jan,69629,98841,26,2.320966667,3.2947,0.000866667
2018-Dec,58603,99952,3172,1.953433333,3.331733333,0.105733333
2018-Nov,61260,91490,2969,2.042,3.049666667,0.098966667
2018-Oct,57430,98314,2769,1.914333333,3.277133333,0.0923
2018-Sep,59695,100111,2767,1.989833333,3.337033333,0.092233333
2018-Aug,40986,101131,2763,1.3662,3.371033333,0.0921
2018-Jul,39995,101031,2771,1.333166667,3.3677,0.092366667
2018-Jun,44658,90724,2774,1.4886,3.024133333,0.092466667
2018-May,44672,86805,2769,1.489066667,2.8935,0.0923
2018-Apr,53086,77196,24,1.769533333,2.5732,0.0008
2018-Mar,89639,74286,23,2.987966667,2.4762,0.000766667
2018-Feb,77594,64596,2748,2.586466667,2.1532,0.0916
2018-Jan,73028,68635,2832,2.434266667,2.287833333,0.0944
2018-Dec,73331,63601,28,2.444366667,2.120033333,0.000933333
2018-Nov,62327,58487,27,2.077566667,1.949566667,0.0009
2018-Oct,51838,60318,2904,1.727933333,2.0106,0.0968
2018-Sep,52153,64834,2904,1.738433333,2.161133333,0.0968
2018-Aug,46888,65624,2863,1.562933333,2.187466667,0.095433333
2018-Jul,55096,69366,2827,1.836533333,2.3122,0.094233333
2018-Jun,54581,65247,17,1.819366667,2.1749,0.000566667
2018-May,49976,62199,1907,1.665866667,2.0733,0.063566667
2018-Apr,65157,56719,25,2.1719,1.890633333,0.000833333
2018-Mar,91436,58019,28,3.047866667,1.933966667,0.000933333
2018-Feb,84535,51291,2694,2.817833333,1.7097,0.0898
2018-Jan,81939,52807,29,2.7313,1.760233333,0.000966667
2018-Dec,72988,44293,26,2.432933333,1.476433333,0.000866667
2018-Nov,59903,51009,2747,1.996766667,1.7003,0.091566667
2018-Oct,69644,52737,16,2.321466667,1.7579,0.000533333
2018-Sep,69733,52677,12,2.324433333,1.7559,0.0004
2018-Aug,68329,61982,9,2.277633333,2.066066667,0.0003
2018-Jul,66473,62116,8,2.215766667,2.070533333,0.000266667
2018-Jun,75874,57903,12,2.529133333,1.9301,0.0004
2018-May,81695,60338,15,2.723166667,2.011266667,0.0005
2018-Apr,70909,54840,21,2.363633333,1.828,0.0007
2018-Mar,92414,56107,23,3.080466667,1.870233333,0.000766667
2018-Feb,84221,48760,22,2.807366667,1.625333333,0.000733333
2018-Jan,98824,55606,13,3.294133333,1.853533333,0.000433333
2018-Dec,100693,52325,5520,3.356433333,1.744166667,0.184
2018-Nov,92926,49366,7,3.097533333,1.645533333,0.000233333
2018-Oct,75043,60516,4371,2.501433333,2.0172,0.1457
2018-Sep,79795,57567,12,2.659833333,1.9189,0.0004
2018-Aug,77088,59706,2455,2.5696,1.9902,0.081833333
2018-Jul,61822,56534,12,2.060733333,1.884466667,0.0004
2018-Jun,64262,58479,2399,2.142066667,1.9493,0.079966667
2018-May,78008,52160,2811,2.600266667,1.738666667,0.0937
2018-Apr,77652,45480,18,2.5884,1.516,0.0006
2018-Mar,92962,45588,2615,3.098733333,1.5196,0.087166667
2018-Feb,86627,41668,1880,2.887566667,1.388933333,0.062666667
2018-Jan,83852,40414,6199,2.795066667,1.347133333,0.206633333
2018-Dec,86688,42471,5215,2.8896,1.4157,0.173833333
2018-Nov,83861,38869,4869,2.795366667,1.295633333,0.1623
2018-Oct,63997,42646,2870,2.133233333,1.421533333,0.095666667
2018-Sep,77496,39283,9965,2.5832,1.309433333,0.332166667
2018-Aug,67490,41989,1926,2.249666667,1.399633333,0.0642
2018-Jul,63754,46933,2593,2.125133333,1.564433333,0.086433333
2018-Jun,71099,46443,1929,2.369966667,1.5481,0.0643
2018-May,79646,43709,8442,2.654866667,1.456966667,0.2814
2018-Apr,75750,42880,7743,2.525,1.429333333,0.2581
2018-Mar,98465,40883,5013,3.282166667,1.362766667,0.1671
2018-Feb,83577,36388,5049,2.7859,1.212933333,0.1683
2018-Jan,85171,36162,14388,2.839033333,1.2054,0.4796
2018-Dec,81572,38439,15111,2.719066667,1.2813,0.5037
2018-Nov,83875,30095,9567,2.795833333,1.003166667,0.3189
2018-Oct,63371,24697,7906,2.112366667,0.823233333,0.263533333
2018-Sep,49604,23207,6664,1.653466667,0.773566667,0.222133333
2018-Aug,48899,33336,1928,1.629966667,1.1112,0.064266667
2018-Jul,49558,32452,3842,1.651933333,1.081733333,0.128066667
2018-Jun,51219,33790,5031,1.7073,1.126333333,0.1677
2018-May,54676,29119,1930,1.822533333,0.970633333,0.064333333
2018-Apr,50454,21632,3852,1.6818,0.721066667,0.1284
2018-Mar,76977,20663,1935,2.5659,0.688766667,0.0645
2018-Feb,60310,22422,5088,2.010333333,0.7474,0.1696
2018-Jan,68232,23400,1939,2.2744,0.78,0.064633333
2018-Dec,80608,28131,6589,2.686933333,0.9377,0.219633333
2018-Nov,65747,29214,1931,2.191566667,0.9738,0.064366667
2018-Oct,47086,29080,1927,1.569533333,0.969333333,0.064233333
2018-Sep,46852,33089,3845,1.561733333,1.102966667,0.128166667
2018-Aug,45214,31616,1925,1.507133333,1.053866667,0.064166667
2018-Jul,41794,30642,3837,1.393133333,1.0214,0.1279
2018-Jun,36558,27786,1915,1.2186,0.9262,0.063833333
2018-May,46007,29151,1914,1.533566667,0.9717,0.0638
2018-Apr,55450,22648,1917,1.848333333,0.754933333,0.0639
2018-Mar,76564,24196,2940,2.552133333,0.806533333,0.098
2018-Feb,75174,25259,2763,2.5058,0.841966667,0.0921
2018-Jan,83544,27594,1851,2.7848,0.9198,0.0617
2018-Dec,75545,27892,2663,2.518166667,0.929733333,0.088766667
