Month,aa,bb,cc,dd,ee,ff,gg,Natural Gas Gross Withdrawals from Shale Gas,Natural Gas Vented and Flared,Natural Gas Gross Withdrawals from Gas Wells,Dry Natural Gas Production,Natural Gas Gross Withdrawals,Natural Gas Gross Withdrawals from Coalbed Wells,Natural Gas Gross Withdrawals from Oil Wells
Dec 2016,1395601,16299,691221,2206096,2742243,86861,568561,46.52003333,0.5433,23.0407,73.53653333,91.4081,2.895366667,18.95203333
Nov 2016,1360829,15110,675675,2162400,2672624,85609,550512,45.36096667,0.503666667,22.5225,72.08,89.08746667,2.853633333,18.3504
Oct 2016,1381578,17118,709620,2214067,2718264,89997,537068,46.0526,0.5706,23.654,73.80223333,90.6088,2.9999,17.90226667
Sep 2016,1345959,15516,691551,2156714,2630104,87419,505175,44.8653,0.5172,23.0517,71.89046667,87.67013333,2.913966667,16.83916667
Aug 2016,1413494,17629,698631,2242349,2725751,89395,524231,47.11646667,0.587633333,23.2877,74.74496667,90.85836667,2.979833333,17.47436667
Jul 2016,1418808,20071,713527,2266293,2730488,89456,508696,47.2936,0.669033333,23.78423333,75.5431,91.01626667,2.981866667,16.95653333
Jun 2016,1361588,17347,696837,2174694,2636140,86464,491252,45.38626667,0.578233333,23.2279,72.4898,87.87133333,2.882133333,16.37506667
May 2016,1410614,17344,743664,2278234,2786681,90630,541774,47.02046667,0.578133333,24.7888,75.94113333,92.88936667,3.021,18.05913333
Apr 2016,1364496,16888,720975,2215366,2680613,88677,506466,45.4832,0.562933333,24.0325,73.84553333,89.35376667,2.9559,16.8822
Mar 2016,1404930,18078,768294,2292503,2828024,93380,561420,46.831,0.6026,25.6098,76.41676667,94.26746667,3.112666667,18.714
Feb 2016,1324254,17839,719585,2166988,2656151,87032,525279,44.1418,0.594633333,23.98616667,72.23293333,88.53836667,2.901066667,17.5093
Jan 2016,1400249,21316,757739,2287069,2828428,93238,577202,46.67496667,0.710533333,25.25796667,76.23563333,94.28093333,3.107933333,19.24006667
Dec 2015,1370350,22345,761813,2290495,2812110,95299,584648,45.67833333,0.744833333,25.39376667,76.34983333,93.737,3.176633333,19.48826667
Nov 2015,1320749,19237,746850,2216479,2726220,94442,564178,44.02496667,0.641233333,24.895,73.88263333,90.874,3.148066667,18.80593333
Oct 2015,1359164,20269,777128,2300017,2806078,98986,570799,45.30546667,0.675633333,25.90426667,76.66723333,93.53593333,3.299533333,19.02663333
Sep 2015,1308824,22169,770977,2242155,2721449,96026,545621,43.62746667,0.738966667,25.69923333,74.7385,90.71496667,3.200866667,18.18736667
Aug 2015,1361877,27021,780568,2302361,2744748,99794,502509,45.3959,0.9007,26.01893333,76.74536667,91.4916,3.326466667,16.7503
