month,Low Oil Price,Base Oil Price,High Oil Price,Date
1,60,60,60,Jan 2018
2,60.2,60.43,60.84,Feb 2018
3,60.41,60.82,61.66,Mar 2018
4,60.62,61.24,62.49,Apr 2018
5,60.84,61.68,63.34,May 2018
6,61.03,62.07,64.16,Jun 2018
7,61.26,62.51,64.99,Jul 2018
8,61.45,62.91,65.82,Aug 2018
9,61.68,63.32,66.68,Sep 2018
10,61.87,63.74,67.49,Oct 2018
11,62.09,64.18,68.32,Nov 2018
12,62.3,64.59,69.16,Dec 2018
13,62.49,64.99,69.99,Jan 2019
14,62.7,65.41,70.82,Feb 2019
15,62.91,65.82,71.68,Mar 2019
16,63.12,66.24,72.49,Apr 2019
17,63.32,66.66,73.34,May 2019
18,63.53,67.09,74.16,Jun 2019
19,63.76,67.51,74.99,Jul 2019
20,63.95,67.91,75.82,Aug 2019
21,64.18,68.32,76.66,Sep 2019
22,64.39,68.76,77.49,Oct 2019
23,64.57,69.18,78.32,Nov 2019
24,64.8,69.59,79.16,Dec 2019
25,65,70,80,Jan 2020
26,64.51,69.93,80.22,Feb 2020
27,63.99,69.84,80.41,Mar 2020
28,63.49,69.74,80.62,Apr 2020
29,63.01,69.68,80.82,May 2020
30,62.51,69.59,81.05,Jun 2020
31,61.99,69.49,81.26,Jul 2020
32,61.49,69.41,81.47,Aug 2020
33,60.99,69.34,81.66,Sep 2020
34,60.49,69.26,81.89,Oct 2020
35,60.01,69.18,82.09,Nov 2020
36,59.49,69.09,82.3,Dec 2020
37,58.99,68.99,82.51,Jan 2021
38,58.51,68.91,82.72,Feb 2021
39,57.99,68.82,82.91,Mar 2021
40,57.51,68.76,83.12,Apr 2021
41,56.99,68.66,83.32,May 2021
42,56.49,68.57,83.55,Jun 2021
43,55.99,68.51,83.76,Jul 2021
44,55.49,68.41,83.97,Aug 2021
45,54.99,68.32,84.18,Sep 2021
46,54.49,68.24,84.37,Oct 2021
47,54.01,68.18,84.57,Nov 2021
48,53.49,68.09,84.8,Dec 2021
49,53,68,85,Jan 2022
50,53.18,68.3,84.99,Feb 2022
51,53.32,68.59,85.01,Mar 2022
52,53.49,68.89,84.99,Apr 2022
53,53.68,69.16,84.99,May 2022
54,53.82,69.45,84.99,Jun 2022
55,53.99,69.74,84.99,Jul 2022
56,54.16,70.03,84.99,Aug 2022
57,54.32,70.34,85.01,Sep 2022
58,54.51,70.64,84.99,Oct 2022
59,54.68,70.93,84.99,Nov 2022
60,54.82,71.2,85.01,Dec 2022
61,55.01,71.49,84.99,Jan 2023
62,55.16,71.78,84.99,Feb 2023
63,55.34,72.09,84.99,Mar 2023
64,55.51,72.37,84.99,Apr 2023
65,55.68,72.66,85.01,May 2023
66,55.82,72.95,84.99,Jun 2023
67,55.99,73.24,84.99,Jul 2023
68,56.18,73.53,84.99,Aug 2023
69,56.34,73.82,84.99,Sep 2023
70,56.51,74.14,85.01,Oct 2023
71,56.68,74.41,85.01,Nov 2023
72,56.84,74.72,85.01,Dec 2023
73,57,75,85,Jan 2024
74,56.8,74.84,84.87,Feb 2024
75,56.57,74.68,84.76,Mar 2024
76,56.37,74.51,84.62,Apr 2024
77,56.16,74.32,84.51,May 2024
78,55.97,74.18,84.37,Jun 2024
79,55.74,73.99,84.26,Jul 2024
80,55.55,73.82,84.12,Aug 2024
81,55.34,73.66,83.99,Sep 2024
82,55.14,73.49,83.87,Oct 2024
83,54.93,73.32,83.76,Nov 2024
84,54.7,73.16,83.64,Dec 2024
85,54.49,72.99,83.51,Jan 2025
86,54.28,72.84,83.37,Feb 2025
87,54.07,72.68,83.26,Mar 2025
88,53.87,72.49,83.14,Apr 2025
89,53.66,72.32,82.99,May 2025
90,53.47,72.16,82.89,Jun 2025
91,53.24,72.01,82.76,Jul 2025
92,53.05,71.82,82.62,Aug 2025
93,52.84,71.68,82.49,Sep 2025
94,52.62,71.51,82.39,Oct 2025
95,52.43,71.34,82.26,Nov 2025
96,52.22,71.18,82.12,Dec 2025
97,52,71,82,Jan 2026
98,52.03,71.22,82.39,Feb 2026
99,52.07,71.41,82.76,Mar 2026
100,52.12,71.62,83.14,Apr 2026
101,52.16,71.82,83.51,May 2026
102,52.2,72.03,83.87,Jun 2026
103,52.24,72.26,84.26,Jul 2026
104,52.28,72.47,84.64,Aug 2026
105,52.32,72.66,84.99,Sep 2026
106,52.37,72.89,85.37,Oct 2026
107,52.43,73.09,85.74,Nov 2026
108,52.45,73.28,86.14,Dec 2026
109,52.49,73.51,86.49,Jan 2027
110,52.55,73.7,86.87,Feb 2027
111,52.57,73.93,87.26,Mar 2027
112,52.62,74.12,87.62,Apr 2027
113,52.66,74.32,87.99,May 2027
114,52.7,74.55,88.37,Jun 2027
115,52.76,74.76,88.76,Jul 2027
116,52.8,74.95,89.14,Aug 2027
117,52.82,75.16,89.49,Sep 2027
118,52.87,75.37,89.89,Oct 2027
119,52.93,75.59,90.26,Nov 2027
120,52.95,75.8,90.64,Dec 2027
121,53,76,91,Jan 2028
122,52.8,75.8,90.8,Feb 2028
123,52.59,75.57,90.59,Mar 2028
124,52.39,75.37,90.37,Apr 2028
125,52.16,75.18,90.16,May 2028
126,51.95,74.95,89.97,Jun 2028
127,51.76,74.74,89.74,Jul 2028
128,51.53,74.55,89.55,Aug 2028
129,51.32,74.32,89.34,Sep 2028
130,51.14,74.12,89.12,Oct 2028
131,50.93,73.91,88.91,Nov 2028
132,50.72,73.72,88.72,Dec 2028
133,50.49,73.51,88.49,Jan 2029
