Month,Industrial,Wellhead,Residential,Electric Power,Commercial Consumers
May 2017,4.08,,13.21,3.62,8.31
Apr 2017,4.2,,11.38,3.49,8.04
Mar 2017,4.02,,9.91,3.52,7.68
Feb 2017,4.62,,10.05,3.74,7.89
Jan 2017,4.9,,9.38,4.32,7.58
Dec 2016,4.31,,9.07,4.16,7.25
Nov 2016,3.86,,10.77,3.14,7.61
Oct 2016,3.87,,13.76,3.24,7.94
Sep 2016,3.73,,16.82,3.19,8.28
Aug 2016,3.58,,17.65,3.07,8.26
Jul 2016,3.57,,16.59,3.07,8.1
Jun 2016,2.89,,14.49,2.77,7.7
May 2016,2.9,,11.63,2.49,7.29
Apr 2016,2.99,,9.66,2.52,6.95
Mar 2016,3.04,,9.21,2.33,7.05
Feb 2016,3.63,,8.39,2.83,6.83
Jan 2016,3.62,,8.3,3.17,6.72
Dec 2015,3.45,,9.27,2.71,7.22
Nov 2015,3.26,,10.02,2.78,7.39
Oct 2015,3.52,,12.6,3.03,7.78
Sep 2015,3.63,,16.4,3.19,8.42
Aug 2015,3.77,,16.89,3.22,8.45
Jul 2015,3.73,,16.28,3.23,8.49
Jun 2015,3.74,,15.07,3.24,8.52
May 2015,3.56,,12.73,3.28,8.13
Apr 2015,3.94,,10.44,3.23,8.02
Mar 2015,4.43,,9.28,3.71,7.84
Feb 2015,4.71,,9.08,4.99,7.81
Jan 2015,4.87,,9.5,4.29,8.14
Dec 2014,5.62,,10.01,4.5,8.53
Nov 2014,5.02,,10.19,4.68,8.29
Oct 2014,5.03,,13.11,4.23,8.97
Sep 2014,5.02,,16.27,4.34,9.39
Aug 2014,4.96,,17.41,4.25,9.67
Jul 2014,5.43,,17.23,4.58,10.06
Jun 2014,5.46,,16.13,4.99,9.94
May 2014,5.74,,13.6,5.09,9.7
Apr 2014,5.85,,11.76,5.25,9.49
Mar 2014,6.47,,10.7,6.29,9.35
Feb 2014,6.63,,9.77,7.8,8.69
Jan 2014,5.69,,9.26,7.46,8.11
Dec 2013,4.97,,9.14,5.11,7.81
Nov 2013,4.62,,10.04,4.36,7.94
Oct 2013,4.36,,12.38,4.26,8.28
Sep 2013,4.36,,15.69,4.22,8.8
Aug 2013,4.31,,16.43,4.03,9.04
Jul 2013,4.47,,16.3,4.34,9.04
Jun 2013,4.9,,15.02,4.56,9.07
May 2013,5,,12.61,4.79,8.71
Apr 2013,4.95,,10.43,4.84,8.15
Mar 2013,4.59,,9.35,4.5,7.77
Feb 2013,4.54,,9.23,4.59,7.78
Jan 2013,4.58,,9.15,4.56,7.75
Dec 2012,4.73,3.35,9.8,4.35,8.18
Nov 2012,4.46,3.35,9.99,4.43,7.99
Oct 2012,3.94,3.03,11.68,4,8.07
Sep 2012,3.56,2.71,14.72,3.54,8.35
Aug 2012,3.83,2.86,15.82,3.61,8.71
Jul 2012,3.6,2.59,15.13,3.54,8.52
Jun 2012,3.34,2.54,14.18,3.21,8.44
May 2012,3.02,1.94,12.61,3.05,8.14
Apr 2012,3.21,1.89,10.94,2.81,8.04
Mar 2012,3.71,2.25,10.41,3.09,8.16
Feb 2012,4.19,2.46,9.47,3.46,7.76
Jan 2012,4.58,2.89,9.62,3.82,8.04
Dec 2011,4.59,3.14,9.83,4.18,8.3
Nov 2011,4.64,3.35,10.78,4.26,8.62
Oct 2011,4.71,3.62,12.85,4.49,8.94
Sep 2011,4.84,3.82,15.63,4.71,9.46
Aug 2011,5.21,4.2,16.67,4.85,9.77
Jul 2011,5.05,4.27,16.14,5.13,9.58
Jun 2011,5.21,4.2,14.7,5.2,9.57
May 2011,5.21,4.12,12.5,5.04,9.35
Apr 2011,5.34,4.05,11.27,5.03,9.02
Mar 2011,5.21,3.95,10.43,4.84,8.89
Feb 2011,5.77,4.34,10.14,5.29,8.88
Jan 2011,5.66,4.37,9.9,5.66,8.74
Dec 2010,5.5,4.68,9.98,5.68,8.82
Nov 2010,4.6,4.12,10.89,4.55,8.86
Oct 2010,4.73,4.05,13.37,4.45,9.27
Sep 2010,4.61,3.83,15.63,4.61,9.56
Aug 2010,5.37,4.38,16.65,5.06,9.94
Jul 2010,5.49,4.44,16.21,5.34,10.04
Jun 2010,5.04,4.27,14.86,5.31,9.72
May 2010,5.08,4.24,13.12,4.96,9.5
Apr 2010,5.12,4.1,11.97,4.91,9.57
Mar 2010,6.01,4.7,10.99,5.47,9.7
Feb 2010,6.76,5.3,10.69,6.27,9.71
Jan 2010,6.93,5.69,10.56,6.98,9.65
Dec 2009,5.97,4.66,10.42,6.24,9.1
Nov 2009,5.44,4.2,11.48,5.06,9.45
Oct 2009,4.82,3.83,11.78,5.04,8.93
Sep 2009,3.89,2.98,14.8,4.02,9.35
Aug 2009,4.38,3.37,15.61,4.3,9.52
Jul 2009,4.68,3.45,15.27,4.47,9.74
Jun 2009,4.56,3.38,14.26,4.62,9.53
May 2009,4.4,3.23,12.86,4.7,9.42
Apr 2009,5.05,3.18,11.68,4.7,9.7
Mar 2009,5.69,3.38,11.98,4.92,10.46
Feb 2009,6.43,3.7,12.26,5.62,10.98
Jan 2009,7.5,4.6,12.49,6.62,11.28
Dec 2008,7.86,5.94,12.84,6.9,11.61
Nov 2008,7.34,5.23,13.8,6.64,11.72
Oct 2008,8.1,5.64,15.45,6.74,12.06
Sep 2008,9.13,6.71,18.41,7.81,13.12
Aug 2008,10.1,8.21,20.17,8.97,14.19
Jul 2008,13.06,10.79,20.77,11.71,15.64
Jun 2008,12.11,10.36,18.91,12.41,14.68
May 2008,11.35,9.96,16.33,10.97,13.51
Apr 2008,10.03,8.87,14.49,10.19,12.63
Mar 2008,9.61,8.63,13.13,9.53,12.03
Feb 2008,8.96,8.02,12.58,8.87,11.49
Jan 2008,8.29,7.38,12.24,8.52,11.2
Dec 2007,8.18,6.87,12.34,7.93,11.24
Nov 2007,7.87,6.46,13.04,7.28,11.23
Oct 2007,7.06,5.78,14.57,7,10.93
Sep 2007,6.28,5.3,16.03,6.33,10.92
Aug 2007,6.72,5.76,16.71,6.83,11.19
Jul 2007,7.51,6.21,16.71,7.03,11.63
Jun 2007,7.92,6.62,16.28,7.8,11.81
May 2007,8.11,6.75,14.69,7.96,11.51
Apr 2007,8.14,6.26,13.31,7.77,11.5
Mar 2007,8.42,6.65,12.81,7.64,11.79
Feb 2007,8.25,6.8,12.13,8.18,11.22
Jan 2007,7.36,5.7,12.17,7.08,11.18
Dec 2006,8.23,6.76,12.53,7.57,11.61
Nov 2006,7.74,6.71,12.45,7.48,11.05
Oct 2006,5.62,5.09,12.51,5.76,10.05
Sep 2006,7.21,6.06,15.71,6.27,11.16
Aug 2006,7.36,6.55,16.18,7.56,11.2
Jul 2006,6.78,5.91,15.72,6.69,10.98
Jun 2006,6.92,5.77,15.07,6.69,11.09
May 2006,7.63,6.23,14.41,6.89,11.61
Apr 2006,7.93,6.37,13.27,7.32,11.57
Mar 2006,8.24,6.43,13.17,7.36,12.07
Feb 2006,9.38,6.85,13.98,8,12.95
Jan 2006,10.85,8.01,14.92,9.15,14.16
Dec 2005,11.17,9.08,14.6,11.26,14.01
Nov 2005,12.11,9.89,15.64,9.87,14.76
Oct 2005,12.06,10.33,16.44,11.84,14.29
Sep 2005,10.18,8.95,16.56,10.99,12.59
Aug 2005,7.98,6.48,15.51,8.67,11.01
Jul 2005,7.4,6.71,14.86,7.57,10.58
Jun 2005,6.91,6.09,13.79,7.08,10.22
May 2005,7.19,6.25,12.74,6.83,10.35
Apr 2005,7.71,6.57,11.88,7.27,10.25
Mar 2005,7.12,5.95,10.84,6.84,9.91
Feb 2005,7.15,5.73,10.87,6.42,9.83
Jan 2005,7.06,5.8,10.9,6.72,10.02
Dec 2004,7.54,6.01,11.09,6.88,10.42
Nov 2004,7.64,6.21,11.44,6.71,10.21
Oct 2004,6.03,5.43,11.69,6.05,9.17
Sep 2004,5.68,5.06,13.31,5.39,9.26
Aug 2004,6.36,5.52,13.74,5.97,9.66
Jul 2004,6.41,5.62,13.54,6.24,9.65
Jun 2004,6.82,5.82,13.08,6.52,9.71
May 2004,6.34,5.4,11.63,6.3,9.23
Apr 2004,6.06,5.03,10.54,5.74,9.02
Mar 2004,5.97,5.12,10.03,5.5,9.05
Feb 2004,6.52,5.02,9.85,5.76,9.1
Jan 2004,6.72,5.21,9.71,6.37,9.06
Dec 2003,5.9,4.76,9.51,5.69,8.62
