Date,Algonquin_Citygates,Chicago_Citygates,Henry,Malin,PG&E,Socal_Citygate,Socal_Ehrenberg,TETCO_M3
Jan 2017,5.7804,3.570125,3.46315,3.545475,3.751,3.83165,3.52105,3.313075
Jan 2017,5.8902,3.5607125,3.426675,3.4970875,3.7035,3.793625,3.478875,3.3260875
Jan 2017,6,3.5513,3.3902,3.4487,3.656,3.7556,3.4367,3.3391
Jan 2017,13.1711,3.4869,3.3734,3.4165,3.5708,3.6125,3.4403,3.5316
Jan 2017,13.5,3.3169,3.2959,3.2877,3.4649,3.4669,3.3054,3.6803
Jan 2017,13.24,3.3255,3.3261,3.194,3.4752,3.3438,3.1699,6.1336
Jan 2017,13.1711,3.2049,3.22295,3.11875,3.4104,3.31855,3.10305,4.65935
Jan 2017,13,3.1446,3.171375,3.081125,3.378,3.305925,3.069625,3.922225
Jan 2017,12.5,3.0843,3.1198,3.0435,3.3456,3.2933,3.0362,3.1851
Jan 2017,12,3.1916,3.2104,3.1924,3.4544,3.3693,3.2019,3.055
Jan 2017,11.5,3.2548,3.2783,3.2767,3.534,3.5004,3.2683,2.9824
Jan 2017,11,3.3258,3.3202,3.392,3.6224,3.6728,3.4299,3.1876
Jan 2017,10.5,3.2991,3.3611,3.3791,3.6605,3.6242,3.3923,3.2424
Jan 2017,10,3.2669,3.3334,3.34455,3.6588,3.6203,3.37035,3.1985
Jan 2017,8.39805,3.2508,3.31955,3.327275,3.65795,3.61835,3.359375,3.17655
Jan 2017,6.011525,3.24275,3.312625,3.3186375,3.657525,3.617375,3.3538875,3.165575
Jan 2017,4.8182625,3.2347,3.3057,3.31,3.6571,3.6164,3.3484,3.1546
Jan 2017,3.625,3.2115,3.2531,3.189,3.6141,3.5998,3.27,3.1262
Jan 2017,3.625,3.1305,3.2148,3.1255,3.5549,3.5542,3.197,3.0704
Jan 2017,3.6375,3.1703,3.2069,3.0998,3.5603,3.4554,3.1547,2.9477
Jan 2017,3.64375,3.14605,3.17665,3.136,3.55075,3.5574,3.2162,3.0047
Jan 2017,3.646875,3.133925,3.161525,3.1541,3.545975,3.6084,3.24695,3.0332
Jan 2017,3.65,3.1218,3.1464,3.1722,3.5412,3.6594,3.2777,3.0617
Jan 2017,3.65,3.2328,3.249,3.2732,3.6287,3.7553,3.4353,3.1085
Jan 2017,3.949,3.2193,3.2545,3.3257,3.6587,3.6591,3.4441,3.1253
Jan 2017,4.248,3.3357,3.4194,3.4,3.7559,3.6863,3.4596,3.3133
Jan 2017,4.248,3.2099,3.2904,3.1434,3.616,3.371,3.2087,3.2722
Jan 2017,4.4931,3.1696,3.2429,3.06355,3.5823,3.4312,3.1662,3.15985
