Date,Algonquin_Citygates,Chicago_Citygates,Henry,Malin,PG&E,Socal_Citygate,Socal_Ehrenberg,TETCO_M3
Dec 2017,3.5,2.7214,2.8404,2.5541,3.0191,4.2463,2.9981,2.3184
Dec 2017,3.5,2.79125,2.87075,2.6646,3.02465,4.6197,3.0305,2.3667
Dec 2017,3.975,2.826175,2.885925,2.71985,3.027425,4.8064,3.0467,2.39085
Dec 2017,4.2125,2.8611,2.9011,2.7751,3.0302,4.9931,3.0629,2.415
Dec 2017,4.33125,2.8865,2.8624,2.7858,2.9447,6.0093,3.7739,2.6258
Dec 2017,4.45,2.908,2.9181,2.8473,2.9728,6.018,3.29,2.7673
Dec 2017,4.45,2.7018,2.8034,2.6499,2.8563,7.5004,3.0566,2.6554
Dec 2017,5.35,2.635,2.7465,2.5975,2.8659,5.3092,2.9575,2.9426
Dec 2017,5.8,2.7056,2.77085,2.6391,2.924,6.1781,3.05775,2.9935
Dec 2017,6.025,2.7409,2.783025,2.6599,2.95305,6.61255,3.107875,3.01895
Dec 2017,6.25,2.7762,2.7952,2.6807,2.9821,7.047,3.158,3.0444
Dec 2017,10,2.7295,2.8063,2.6963,2.9871,5.6278,3.1092,4.6295
Dec 2017,8.875,2.6169,2.673,2.6302,2.9058,4.1177,2.9084,3.439
Dec 2017,7.75,2.6055,2.6658,2.583,2.8658,3.8571,2.9775,2.8548
Dec 2017,7.75,2.551,2.6202,2.5953,2.8458,4.7196,2.8304,2.6399
Dec 2017,9.4068,2.60655,2.66365,2.60105,2.87845,4.98625,2.93925,2.53215
Dec 2017,10.2352,2.634325,2.685375,2.603925,2.894775,5.119575,2.993675,2.478275
Dec 2017,10.6494,2.6621,2.7071,2.6068,2.9111,5.2529,3.0481,2.4244
Dec 2017,11.0636,2.7134,2.7406,2.6008,2.9449,5.1646,3.1886,2.6416
Dec 2017,14.1925,2.6358,2.697,2.6593,2.8891,4.9696,3.6308,2.7815
Dec 2017,15.75695,2.5372,2.6021,2.4687,2.8429,5.2419,4.514,2.2521
Dec 2017,17.3214,2.6698,2.6119,2.5947,2.8427,4.3717,3.3918,3.4167
Dec 2017,34.7718,2.79845,2.6548,2.63955,2.84125,3.9859,3.2193,7.50275
Dec 2017,43.497,2.862775,2.67625,2.661975,2.840525,3.793,3.13305,9.545775
Dec 2017,47.8596,2.8949375,2.686975,2.6731875,2.8401625,3.69655,3.089925,10.5672875
Dec 2017,52.2222,2.9271,2.6977,2.6844,2.8398,3.6001,3.0468,11.5888
Dec 2017,24.3,3.153,2.7543,2.6411,2.8856,3.1807,2.9372,17.1224
Dec 2017,19,3.984,2.9645,2.8983,3.0373,3.2073,3.0847,15.342
